src,dst,w
0,0,1.0
0,65,1.0
0,960,1.0
0,769,1.0
0,3072,1.0
0,3137,1.0
0,4032,1.0
0,3841,1.0
1,385,1.0
1,450,1.0
1,705,1.0
1,514,1.0
1,3457,1.0
1,3522,1.0
1,3777,1.0
1,3586,1.0
2,1154,1.0
2,1219,1.0
2,1858,1.0
2,1923,1.0
2,2178,1.0
2,2243,1.0
2,2882,1.0
2,2947,1.0
3,1283,1.0
3,1348,1.0
3,1603,1.0
3,1668,1.0
3,2307,1.0
3,2372,1.0
3,2627,1.0
3,2692,1.0
4,4,1.0
4,69,1.0
4,964,1.0
4,773,1.0
4,3076,1.0
4,3141,1.0
4,4036,1.0
4,3845,1.0
5,389,1.0
5,454,1.0
5,709,1.0
5,518,1.0
5,3461,1.0
5,3526,1.0
5,3781,1.0
5,3590,1.0
6,1158,1.0
6,1223,1.0
6,1862,1.0
6,1927,1.0
6,2182,1.0
6,2247,1.0
6,2886,1.0
6,2951,1.0
7,1287,1.0
7,1352,1.0
7,1607,1.0
7,1672,1.0
7,2311,1.0
7,2376,1.0
7,2631,1.0
7,2696,1.0
8,8,1.0
8,73,1.0
8,968,1.0
8,777,1.0
8,3080,1.0
8,3145,1.0
8,4040,1.0
8,3849,1.0
9,393,1.0
9,458,1.0
9,713,1.0
9,522,1.0
9,3465,1.0
9,3530,1.0
9,3785,1.0
9,3594,1.0
10,1162,1.0
10,1227,1.0
10,1866,1.0
10,1931,1.0
10,2186,1.0
10,2251,1.0
10,2890,1.0
10,2955,1.0
11,1291,1.0
11,1356,1.0
11,1611,1.0
11,1676,1.0
11,2315,1.0
11,2380,1.0
11,2635,1.0
11,2700,1.0
12,12,1.0
12,77,1.0
12,972,1.0
12,781,1.0
12,3084,1.0
12,3149,1.0
12,4044,1.0
12,3853,1.0
13,397,1.0
13,462,1.0
13,717,1.0
13,526,1.0
13,3469,1.0
13,3534,1.0
13,3789,1.0
13,3598,1.0
14,1166,1.0
14,1231,1.0
14,1870,1.0
14,1935,1.0
14,2190,1.0
14,2255,1.0
14,2894,1.0
14,2959,1.0
15,1295,1.0
15,1360,1.0
15,1615,1.0
15,1680,1.0
15,2319,1.0
15,2384,1.0
15,2639,1.0
15,2704,1.0
16,16,1.0
16,81,1.0
16,976,1.0
16,785,1.0
16,3088,1.0
16,3153,1.0
16,4048,1.0
16,3857,1.0
17,401,1.0
17,466,1.0
17,721,1.0
17,530,1.0
17,3473,1.0
17,3538,1.0
17,3793,1.0
17,3602,1.0
18,1170,1.0
18,1235,1.0
18,1874,1.0
18,1939,1.0
18,2194,1.0
18,2259,1.0
18,2898,1.0
18,2963,1.0
19,1299,1.0
19,1364,1.0
19,1619,1.0
19,1684,1.0
19,2323,1.0
19,2388,1.0
19,2643,1.0
19,2708,1.0
20,20,1.0
20,85,1.0
20,980,1.0
20,789,1.0
20,3092,1.0
20,3157,1.0
20,4052,1.0
20,3861,1.0
21,405,1.0
21,470,1.0
21,725,1.0
21,534,1.0
21,3477,1.0
21,3542,1.0
21,3797,1.0
21,3606,1.0
22,1174,1.0
22,1239,1.0
22,1878,1.0
22,1943,1.0
22,2198,1.0
22,2263,1.0
22,2902,1.0
22,2967,1.0
23,1303,1.0
23,1368,1.0
23,1623,1.0
23,1688,1.0
23,2327,1.0
23,2392,1.0
23,2647,1.0
23,2712,1.0
24,24,1.0
24,89,1.0
24,984,1.0
24,793,1.0
24,3096,1.0
24,3161,1.0
24,4056,1.0
24,3865,1.0
25,409,1.0
25,474,1.0
25,729,1.0
25,538,1.0
25,3481,1.0
25,3546,1.0
25,3801,1.0
25,3610,1.0
26,1178,1.0
26,1243,1.0
26,1882,1.0
26,1947,1.0
26,2202,1.0
26,2267,1.0
26,2906,1.0
26,2971,1.0
27,1307,1.0
27,1372,1.0
27,1627,1.0
27,1692,1.0
27,2331,1.0
27,2396,1.0
27,2651,1.0
27,2716,1.0
28,28,1.0
28,93,1.0
28,988,1.0
28,797,1.0
28,3100,1.0
28,3165,1.0
28,4060,1.0
28,3869,1.0
29,413,1.0
29,478,1.0
29,733,1.0
29,542,1.0
29,3485,1.0
29,3550,1.0
29,3805,1.0
29,3614,1.0
30,1182,1.0
30,1247,1.0
30,1886,1.0
30,1951,1.0
30,2206,1.0
30,2271,1.0
30,2910,1.0
30,2975,1.0
31,1311,1.0
31,1376,1.0
31,1631,1.0
31,1696,1.0
31,2335,1.0
31,2400,1.0
31,2655,1.0
31,2720,1.0
32,32,1.0
32,97,1.0
32,992,1.0
32,801,1.0
32,3104,1.0
32,3169,1.0
32,4064,1.0
32,3873,1.0
33,417,1.0
33,482,1.0
33,737,1.0
33,546,1.0
33,3489,1.0
33,3554,1.0
33,3809,1.0
33,3618,1.0
34,1186,1.0
34,1251,1.0
34,1890,1.0
34,1955,1.0
34,2210,1.0
34,2275,1.0
34,2914,1.0
34,2979,1.0
35,1315,1.0
35,1380,1.0
35,1635,1.0
35,1700,1.0
35,2339,1.0
35,2404,1.0
35,2659,1.0
35,2724,1.0
36,36,1.0
36,101,1.0
36,996,1.0
36,805,1.0
36,3108,1.0
36,3173,1.0
36,4068,1.0
36,3877,1.0
37,421,1.0
37,486,1.0
37,741,1.0
37,550,1.0
37,3493,1.0
37,3558,1.0
37,3813,1.0
37,3622,1.0
38,1190,1.0
38,1255,1.0
38,1894,1.0
38,1959,1.0
38,2214,1.0
38,2279,1.0
38,2918,1.0
38,2983,1.0
39,1319,1.0
39,1384,1.0
39,1639,1.0
39,1704,1.0
39,2343,1.0
39,2408,1.0
39,2663,1.0
39,2728,1.0
40,40,1.0
40,105,1.0
40,1000,1.0
40,809,1.0
40,3112,1.0
40,3177,1.0
40,4072,1.0
40,3881,1.0
41,425,1.0
41,490,1.0
41,745,1.0
41,554,1.0
41,3497,1.0
41,3562,1.0
41,3817,1.0
41,3626,1.0
42,1194,1.0
42,1259,1.0
42,1898,1.0
42,1963,1.0
42,2218,1.0
42,2283,1.0
42,2922,1.0
42,2987,1.0
43,1323,1.0
43,1388,1.0
43,1643,1.0
43,1708,1.0
43,2347,1.0
43,2412,1.0
43,2667,1.0
43,2732,1.0
44,44,1.0
44,109,1.0
44,1004,1.0
44,813,1.0
44,3116,1.0
44,3181,1.0
44,4076,1.0
44,3885,1.0
45,429,1.0
45,494,1.0
45,749,1.0
45,558,1.0
45,3501,1.0
45,3566,1.0
45,3821,1.0
45,3630,1.0
46,1198,1.0
46,1263,1.0
46,1902,1.0
46,1967,1.0
46,2222,1.0
46,2287,1.0
46,2926,1.0
46,2991,1.0
47,1327,1.0
47,1392,1.0
47,1647,1.0
47,1712,1.0
47,2351,1.0
47,2416,1.0
47,2671,1.0
47,2736,1.0
48,48,1.0
48,113,1.0
48,1008,1.0
48,817,1.0
48,3120,1.0
48,3185,1.0
48,4080,1.0
48,3889,1.0
49,433,1.0
49,498,1.0
49,753,1.0
49,562,1.0
49,3505,1.0
49,3570,1.0
49,3825,1.0
49,3634,1.0
50,1202,1.0
50,1267,1.0
50,1906,1.0
50,1971,1.0
50,2226,1.0
50,2291,1.0
50,2930,1.0
50,2995,1.0
51,1331,1.0
51,1396,1.0
51,1651,1.0
51,1716,1.0
51,2355,1.0
51,2420,1.0
51,2675,1.0
51,2740,1.0
52,52,1.0
52,117,1.0
52,1012,1.0
52,821,1.0
52,3124,1.0
52,3189,1.0
52,4084,1.0
52,3893,1.0
53,437,1.0
53,502,1.0
53,757,1.0
53,566,1.0
53,3509,1.0
53,3574,1.0
53,3829,1.0
53,3638,1.0
54,1206,1.0
54,1271,1.0
54,1910,1.0
54,1975,1.0
54,2230,1.0
54,2295,1.0
54,2934,1.0
54,2999,1.0
55,1335,1.0
55,1400,1.0
55,1655,1.0
55,1720,1.0
55,2359,1.0
55,2424,1.0
55,2679,1.0
55,2744,1.0
56,56,1.0
56,121,1.0
56,1016,1.0
56,825,1.0
56,3128,1.0
56,3193,1.0
56,4088,1.0
56,3897,1.0
57,441,1.0
57,506,1.0
57,761,1.0
57,570,1.0
57,3513,1.0
57,3578,1.0
57,3833,1.0
57,3642,1.0
58,1210,1.0
58,1275,1.0
58,1914,1.0
58,1979,1.0
58,2234,1.0
58,2299,1.0
58,2938,1.0
58,3003,1.0
59,1339,1.0
59,1404,1.0
59,1659,1.0
59,1724,1.0
59,2363,1.0
59,2428,1.0
59,2683,1.0
59,2748,1.0
60,60,1.0
60,125,1.0
60,1020,1.0
60,829,1.0
60,3132,1.0
60,3197,1.0
60,4092,1.0
60,3901,1.0
61,445,1.0
61,510,1.0
61,765,1.0
61,574,1.0
61,3517,1.0
61,3582,1.0
61,3837,1.0
61,3646,1.0
62,1214,1.0
62,1279,1.0
62,1918,1.0
62,1983,1.0
62,2238,1.0
62,2303,1.0
62,2942,1.0
62,3007,1.0
63,1343,1.0
63,1344,1.0
63,1663,1.0
63,1664,1.0
63,2367,1.0
63,2368,1.0
63,2687,1.0
63,2688,1.0
64,0,1.0
64,65,1.0
64,960,1.0
64,769,1.0
64,3072,1.0
64,3137,1.0
64,4032,1.0
64,3841,1.0
65,385,1.0
65,450,1.0
65,705,1.0
65,514,1.0
65,3457,1.0
65,3522,1.0
65,3777,1.0
65,3586,1.0
66,1154,1.0
66,1219,1.0
66,1858,1.0
66,1923,1.0
66,2178,1.0
66,2243,1.0
66,2882,1.0
66,2947,1.0
67,1283,1.0
67,1348,1.0
67,1603,1.0
67,1668,1.0
67,2307,1.0
67,2372,1.0
67,2627,1.0
67,2692,1.0
68,4,1.0
68,69,1.0
68,964,1.0
68,773,1.0
68,3076,1.0
68,3141,1.0
68,4036,1.0
68,3845,1.0
69,389,1.0
69,454,1.0
69,709,1.0
69,518,1.0
69,3461,1.0
69,3526,1.0
69,3781,1.0
69,3590,1.0
70,1158,1.0
70,1223,1.0
70,1862,1.0
70,1927,1.0
70,2182,1.0
70,2247,1.0
70,2886,1.0
70,2951,1.0
71,1287,1.0
71,1352,1.0
71,1607,1.0
71,1672,1.0
71,2311,1.0
71,2376,1.0
71,2631,1.0
71,2696,1.0
72,8,1.0
72,73,1.0
72,968,1.0
72,777,1.0
72,3080,1.0
72,3145,1.0
72,4040,1.0
72,3849,1.0
73,393,1.0
73,458,1.0
73,713,1.0
73,522,1.0
73,3465,1.0
73,3530,1.0
73,3785,1.0
73,3594,1.0
74,1162,1.0
74,1227,1.0
74,1866,1.0
74,1931,1.0
74,2186,1.0
74,2251,1.0
74,2890,1.0
74,2955,1.0
75,1291,1.0
75,1356,1.0
75,1611,1.0
75,1676,1.0
75,2315,1.0
75,2380,1.0
75,2635,1.0
75,2700,1.0
76,12,1.0
76,77,1.0
76,972,1.0
76,781,1.0
76,3084,1.0
76,3149,1.0
76,4044,1.0
76,3853,1.0
77,397,1.0
77,462,1.0
77,717,1.0
77,526,1.0
77,3469,1.0
77,3534,1.0
77,3789,1.0
77,3598,1.0
78,1166,1.0
78,1231,1.0
78,1870,1.0
78,1935,1.0
78,2190,1.0
78,2255,1.0
78,2894,1.0
78,2959,1.0
79,1295,1.0
79,1360,1.0
79,1615,1.0
79,1680,1.0
79,2319,1.0
79,2384,1.0
79,2639,1.0
79,2704,1.0
80,16,1.0
80,81,1.0
80,976,1.0
80,785,1.0
80,3088,1.0
