src,dst,w
0,0,1.0
0,385,1.0
0,1154,1.0
0,1283,1.0
0,4,1.0
0,389,1.0
0,1158,1.0
0,1287,1.0
0,8,1.0
0,393,1.0
0,1162,1.0
0,1291,1.0
0,12,1.0
0,397,1.0
0,1166,1.0
0,1295,1.0
0,960,1.0
0,1729,1.0
0,1858,1.0
0,579,1.0
0,964,1.0
0,1733,1.0
0,1862,1.0
0,583,1.0
0,968,1.0
0,1737,1.0
0,1866,1.0
0,587,1.0
0,972,1.0
0,1741,1.0
0,1870,1.0
0,591,1.0
0,3072,1.0
0,3457,1.0
0,2178,1.0
0,2307,1.0
0,3076,1.0
0,3461,1.0
0,2182,1.0
0,2311,1.0
0,3080,1.0
0,3465,1.0
0,2186,1.0
0,2315,1.0
0,3084,1.0
0,3469,1.0
0,2190,1.0
0,2319,1.0
0,4032,1.0
0,2753,1.0
0,2882,1.0
0,3651,1.0
0,4036,1.0
0,2757,1.0
0,2886,1.0
0,3655,1.0
0,4040,1.0
0,2761,1.0
0,2890,1.0
0,3659,1.0
0,4044,1.0
0,2765,1.0
0,2894,1.0
0,3663,1.0
1,385,1.0
1,1154,1.0
1,1283,1.0
1,4,1.0
1,389,1.0
1,1158,1.0
1,1287,1.0
1,8,1.0
1,393,1.0
1,1162,1.0
1,1291,1.0
1,12,1.0
1,397,1.0
1,1166,1.0
1,1295,1.0
1,16,1.0
1,705,1.0
1,834,1.0
1,1603,1.0
1,1988,1.0
1,709,1.0
1,838,1.0
1,1607,1.0
1,1992,1.0
1,713,1.0
1,842,1.0
1,1611,1.0
1,1996,1.0
1,717,1.0
1,846,1.0
1,1615,1.0
1,2000,1.0
1,3457,1.0
1,2178,1.0
1,2307,1.0
1,3076,1.0
1,3461,1.0
1,2182,1.0
1,2311,1.0
1,3080,1.0
1,3465,1.0
1,2186,1.0
1,2315,1.0
1,3084,1.0
1,3469,1.0
1,2190,1.0
1,2319,1.0
1,3088,1.0
1,3777,1.0
1,3906,1.0
1,2627,1.0
1,3012,1.0
1,3781,1.0
1,3910,1.0
1,2631,1.0
1,3016,1.0
1,3785,1.0
1,3914,1.0
1,2635,1.0
1,3020,1.0
1,3789,1.0
1,3918,1.0
1,2639,1.0
1,3024,1.0
2,1154,1.0
2,1283,1.0
2,4,1.0
2,389,1.0
2,1158,1.0
2,1287,1.0
2,8,1.0
2,393,1.0
2,1162,1.0
2,1291,1.0
2,12,1.0
2,397,1.0
2,1166,1.0
2,1295,1.0
2,16,1.0
2,401,1.0
2,1858,1.0
2,579,1.0
2,964,1.0
2,1733,1.0
2,1862,1.0
2,583,1.0
2,968,1.0
2,1737,1.0
2,1866,1.0
2,587,1.0
2,972,1.0
2,1741,1.0
2,1870,1.0
2,591,1.0
2,976,1.0
2,1745,1.0
2,2178,1.0
2,2307,1.0
2,3076,1.0
2,3461,1.0
2,2182,1.0
2,2311,1.0
2,3080,1.0
2,3465,1.0
2,2186,1.0
2,2315,1.0
2,3084,1.0
2,3469,1.0
2,2190,1.0
2,2319,1.0
2,3088,1.0
2,3473,1.0
2,2882,1.0
2,3651,1.0
2,4036,1.0
2,2757,1.0
2,2886,1.0
2,3655,1.0
2,4040,1.0
2,2761,1.0
2,2890,1.0
2,3659,1.0
2,4044,1.0
2,2765,1.0
2,2894,1.0
