level,group_id,cores_in_group,unique_active_pres,shared_active_pres,shared_pre_ratio,avg_cores_per_active_pre,max_cores_sharing_same_pre
core,pe00/core00,1.0,340.0,0.0,0.0,1.0,1.0
core,pe00/core01,1.0,291.0,0.0,0.0,1.0,1.0
core,pe00/core02,1.0,320.0,0.0,0.0,1.0,1.0
core,pe00/core03,1.0,304.0,0.0,0.0,1.0,1.0
core,pe00/core04,1.0,301.0,0.0,0.0,1.0,1.0
core,pe00/core05,1.0,351.0,0.0,0.0,1.0,1.0
core,pe00/core06,1.0,343.0,0.0,0.0,1.0,1.0
core,pe00/core07,1.0,289.0,0.0,0.0,1.0,1.0
core,pe00/core08,1.0,360.0,0.0,0.0,1.0,1.0
core,pe00/core09,1.0,315.0,0.0,0.0,1.0,1.0
core,pe00/core10,1.0,368.0,0.0,0.0,1.0,1.0
core,pe00/core11,1.0,361.0,0.0,0.0,1.0,1.0
core,pe00/core12,1.0,330.0,0.0,0.0,1.0,1.0
core,pe00/core13,1.0,320.0,0.0,0.0,1.0,1.0
core,pe00/core14,1.0,328.0,0.0,0.0,1.0,1.0
core,pe00/core15,1.0,332.0,0.0,0.0,1.0,1.0
core,pe00/core16,1.0,309.0,0.0,0.0,1.0,1.0
core,pe00/core17,1.0,358.0,0.0,0.0,1.0,1.0
core,pe00/core18,1.0,355.0,0.0,0.0,1.0,1.0
core,pe00/core19,1.0,339.0,0.0,0.0,1.0,1.0
core,pe01/core00,1.0,323.0,0.0,0.0,1.0,1.0
core,pe01/core01,1.0,289.0,0.0,0.0,1.0,1.0
core,pe01/core02,1.0,333.0,0.0,0.0,1.0,1.0
core,pe01/core03,1.0,336.0,0.0,0.0,1.0,1.0
core,pe01/core04,1.0,316.0,0.0,0.0,1.0,1.0
core,pe01/core05,1.0,372.0,0.0,0.0,1.0,1.0
core,pe01/core06,1.0,336.0,0.0,0.0,1.0,1.0
core,pe01/core07,1.0,351.0,0.0,0.0,1.0,1.0
