matrix_group,compare_kind,run_tag,base_case_id,compare_case_id,dominant_home_runtime_controller_overlap_delta,pe_nic_real_home_path_service_deficit_total_delta,synapse_real_home_path_service_deficit_total_delta,base_real_home_traffic_signal_level,compare_real_home_traffic_signal_level,dataflow_controller_alignment_transition,dataflow_controller_alignment_rank_delta,memory_requests_per_completed_step_delta,stall_on_step_gate_cycles_per_completed_step_delta,pe_nic_dominant_controller_outstanding_requests_accum_delta,synapse_dominant_controller_outstanding_requests_accum_delta,pe_nic_dominant_controller_cycles_attempted_issue_but_rejected_delta,synapse_dominant_controller_cycles_attempted_issue_but_rejected_delta,base_pe_nic_real_home_path_dominant_stage,compare_pe_nic_real_home_path_dominant_stage,base_synapse_real_home_path_dominant_stage,compare_synapse_real_home_path_dominant_stage,controller_outstanding_delta_total,controller_issue_reject_delta_total,real_home_path_service_deficit_total_delta,pe_nic_real_home_path_stage_transition,synapse_real_home_path_stage_transition,dominant_mechanism_axis,stop_at,steps_completed_delta,same_stack_overlap_delta,same_controller_overlap_delta,same_class_overlap_delta,vertical_link_pressure_delta,stack_hotspot_penalty_delta,homeroute_adjustment_count_delta,thermal_guard_actions_delta,dominant_runtime_axis
traffic_route,traffic_mem_bundle_vs_direct,,full_3d,full_3d_tile_bundle_v3,0,664,349,synthetic_or_unknown,runtime_controller,,,,,,,,,,,,,,,,,,,,,,,,,,,,
window_route,,task_fixed_step_4_10us,full_3d_snn_window,full_3d_snn_window_bundle_v3,,0,0,,,,0,151.0,127.0,0,0,0,0,,,,,0,0,0,->,->,memory_per_step,,,,,,,,,,
window_route,,task_fixed_step_4_10us_sp64,full_3d_snn_window,full_3d_snn_window_bundle_v3,,0,0,,,,0,216.0,4952.75,0,0,0,0,,,,,0,0,0,->,->,step_gate_stall,,,,,,,,,,
window_route,,task_fixed_step_8_20us,full_3d_snn_window,full_3d_snn_window_bundle_v3,,0,0,,,,0,75.5,-3986.0,0,0,0,0,,,,,0,0,0,->,->,step_gate_stall,,,,,,,,,,
window_route,,task_fixed_step_8_20us_sp64,full_3d_snn_window,full_3d_snn_window_bundle_v3,,0,0,,,,0,111.0,4923.875,0,0,0,0,,,,,0,0,0,->,->,step_gate_stall,,,,,,,,,,
window_route,,task_fixed_step_16_40us,full_3d_snn_window,full_3d_snn_window_bundle_v3,,0,0,,,,0,37.75,-1993.0,0,0,0,0,,,,,0,0,0,->,->,step_gate_stall,,,,,,,,,,
window_route,,task_fixed_step_16_40us_sp64,full_3d_snn_window,full_3d_snn_window_bundle_v3,,0,0,,,,0,55.5,2461.9375,0,0,0,0,,,,,0,0,0,->,->,step_gate_stall,,,,,,,,,,
window_stop,window_stop_bundle_vs_direct,same_tag_stopwindow_fresh_20260323_2us,full_3d_snn_window,full_3d_snn_window_bundle_v3,,8,0,,,alignment_degraded,-1,0.0,0.0,-155821,-155821,-1088,-1088,,,,,-311642,-2176,8,,,controller_outstanding,2us,0,0,0,0,,,,,
window_stop,window_stop_monolithic_vs_direct,same_tag_stopwindow_fresh_20260323_2us,full_3d_snn_window,full_3d_snn_window_monolithic_proxy,,0,0,,,stable,0,0.0,0.0,-660999,-660999,-6549,-6549,,,,,-1321998,-13098,0,,,controller_outstanding,2us,27,0,0,0,,,,,
window_stop,window_stop_bundle_vs_direct,same_tag_stopwindow_fresh_20260323_10us,full_3d_snn_window,full_3d_snn_window_bundle_v3,,0,0,,,alignment_improved,3,0.0,0.0,-1170842,-1170842,-10052,-10052,,,,,-2341684,-20104,0,,,controller_outstanding,10us,64,1,1,1,,,,,
window_stop,window_stop_monolithic_vs_direct,same_tag_stopwindow_fresh_20260323_10us,full_3d_snn_window,full_3d_snn_window_monolithic_proxy,,0,0,,,stable,0,0.0,0.0,-3266002,-3266002,-29629,-29629,,,,,-6532004,-59258,0,,,controller_outstanding,10us,225,0,0,0,,,,,
window_stop,window_stop_bundle_vs_direct,same_tag_stopwindow_fresh_20260323_20us,full_3d_snn_window,full_3d_snn_window_bundle_v3,,0,0,,,alignment_improved,3,0.0,0.0,-1170842,-1170842,-10052,-10052,,,,,-2341684,-20104,0,,,controller_outstanding,20us,64,1,1,1,,,,,
window_stop,window_stop_monolithic_vs_direct,same_tag_stopwindow_fresh_20260323_20us,full_3d_snn_window,full_3d_snn_window_monolithic_proxy,,0,0,,,stable,0,0.0,0.0,-3266002,-3266002,-29629,-29629,,,,,-6532004,-59258,0,,,controller_outstanding,20us,225,0,0,0,,,,,
runtime_compare,runtime_adaptive_vs_mapping,balanced_20us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.23181818181818192,2.0,2.0,thermal_guard_actions
runtime_compare,runtime_adaptive_vs_thermal_guard,balanced_20us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09375,0.23181818181818192,2.0,2.0,thermal_guard_actions
