case_id,case_label,run_tag,mesh_shape,noc_component,memory_kind,memory_model_family,status,runtime_enabled,control_mode,case_role,mapping_policy,mapping_score,same_home_stack_ratio,vertical_target_ratio,vertical_hops_ratio,remote_home_ratio,route_memory_overlap,vertical_link_pressure,thermal_hotspot_score,stack_hotspot_penalty,vertical_bandwidth_budget,tsv_miv_budget_pressure,power_density_score,reliability_penalty,runtime_policy,runtime_signal_source,thermal_state_source,thermal_input_source_kind,thermal_input_summary_path,thermal_input_window_power_samples_path,hotspot_threshold_c,hotspot_threshold_source,remap_epoch,homeroute_adjustment_count,thermal_guard_actions,peak_temperature_c,avg_temperature_c,vertical_gradient_c,hotspot_block_count,hotspot_layer_count,thermal_replay_sample_count,hotspot_driver_status,hotspot_model_type,hotspot_temperature_source,hotspot_peak_temperature_c,hotspot_avg_temperature_c,hotspot_peak_delta_c,hotspot_avg_delta_c,hotspot_block_delta,hotspot_layer_delta,memory_requests_total,tx_packets_total,rx_packets_total,memory_probe_rows_total
baseline_2d,Baseline 2D,codesign_single_20us_20260322,4x4x1,SnnDL.MulticastRouter,legacy_per_pe,legacy_per_pe,smoke_passed,False,observe_only,runtime_smoke,z_mirror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,disabled,disabled,thermal_hooks,runtime_observability_only,,,70.0,effective_config.thermal.hotspot_threshold_c,0,0,0,0.0,0.0,0.0,0,0,0,disabled,,,0.0,0.0,0.0,0.0,0,0,0,0,0,0
memory_only_3d,Memory-Only 3D,codesign_single_20us_20260322,4x4x2,SnnDL.MulticastRouter,hbm_like,hbm_like,smoke_passed,False,observe_only,runtime_smoke,xy_neighbor,-0.75,0.5,0.0,0.42134562841530054,0.5,1.0,0.18820184426229508,1.2287819818989936,0.019764610389610304,2.0,0.09410092213114754,1.7838299469141206,0.4044789832834854,disabled,disabled,thermal_hooks,runtime_observability_only,,,70.0,effective_config.thermal.hotspot_threshold_c,0,0,0,0.0,0.0,0.0,0,0,0,disabled,,,0.0,0.0,0.0,0.0,0,0,58560,40000,40000,4
noc_only_3d,NoC-Only 3D,codesign_single_20us_20260322,4x4x2,SnnDL.MulticastRouter3DNative,legacy_per_pe,legacy_per_pe,smoke_passed,False,observe_only,runtime_smoke,z_mirror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,disabled,disabled,thermal_hooks,runtime_observability_only,,,70.0,effective_config.thermal.hotspot_threshold_c,0,0,0,0.0,0.0,0.0,0,0,0,disabled,,,0.0,0.0,0.0,0.0,0,0,0,0,0,0
full_3d,Full 3D,codesign_single_20us_20260322,4x4x2,SnnDL.MulticastRouter3DNative,hbm_like,hbm_like,smoke_passed,False,observe_only,runtime_smoke,z_blind,-0.75,0.5,0.0,0.42134562841530054,0.5,1.0,0.18820184426229508,1.2282818282535417,0.020820863616930252,2.0,0.09410092213114754,1.7840363604229685,0.40457186936246703,disabled,disabled,thermal_hooks,local_hotspot_sidecar,/home/xgy/remote/snn3dexp/runs/full_3d/codesign_single_20us_20260322/thermal_sidecar/summary/thermal_summary.json,/home/xgy/remote/snn3dexp/runs/full_3d/codesign_single_20us_20260322/thermal_sidecar/summary/window_power_samples.jsonl,70.0,effective_config.thermal.hotspot_threshold_c,0,0,0,0.0,0.0,0.0,0,0,1,ran,grid,hotspot_steady_temp,45.02000000000004,45.02000000000023,-45.02000000000004,-45.02000000000023,0,0,58560,35000,40000,4
full_3d_monolithic_proxy,Full 3D + Monolithic Proxy,codesign_single_20us_20260322,4x4x2,SnnDL.MulticastRouter3DNative,monolithic_like,monolithic_like,smoke_passed,False,observe_only,runtime_smoke,3d_aware,-0.46875,0.5,0.25,0.0,0.0,1.0,0.15,1.25,0.006812211843439053,3.5,0.05357142857142857,2.01935478816746,0.48817394038964274,disabled,disabled,thermal_hooks,runtime_observability_only,,,70.0,effective_config.thermal.hotspot_threshold_c,0,0,0,0.0,0.0,0.0,0,0,0,disabled,,,0.0,0.0,0.0,0.0,0,0,159744,23750,40000,8
full_3d_tile_bundle_v3,Full 3D + Tile Bundle v3,codesign_single_20us_20260322,4x4x2,SnnDL.MulticastRouter3DNative,hbm_like,hbm_like,smoke_passed,True,adaptive_control,runtime_smoke,3d_aware,0.0234375,0.90625,0.40625,0.42134562841530054,0.5,1.0,0.4319518442622951,1.2239900629534484,0.03326502732240444,2.0,0.30371614049692625,1.7887503856952522,0.5219815508361729,adaptive_3d,joint_runtime,thermal_hooks,runtime_observability_only,,,70.0,effective_config.thermal.hotspot_threshold_c,256,1,1,0.0,0.0,0.0,0,0,0,disabled,,,0.0,0.0,0.0,0.0,0,0,58560,0,40000,4
full_3d_mapping,Full 3D + 3D-Aware Mapping,codesign_single_20us_20260322,4x4x2,SnnDL.MulticastRouter3DNative,hbm_like,hbm_like,smoke_passed,False,observe_only,runtime_smoke,3d_aware,0.0234375,0.90625,0.40625,0.42134562841530054,0.5,1.0,0.4319518442622951,1.2270654419635079,0.038853116267768106,2.0,0.30371614049692625,1.79817320640222,0.5262218201543085,disabled,disabled,thermal_hooks,runtime_observability_only,,,70.0,effective_config.thermal.hotspot_threshold_c,0,0,0,0.0,0.0,0.0,0,0,0,disabled,,,0.0,0.0,0.0,0.0,0,0,58560,23750,40000,4
full_3d_thermal_guard,Full 3D + Thermal Guard,codesign_single_20us_20260322,4x4x2,SnnDL.MulticastRouter3DNative,hbm_like,hbm_like,smoke_passed,False,observe_only,runtime_smoke,3d_aware,-0.34375,0.75,0.25,0.42134562841530054,0.5,1.0,0.3382018442622951,1.2270654419635079,0.038853116267768106,2.0,0.21137615266393445,1.79817320640222,0.475434826846163,disabled,disabled,thermal_hooks,local_hotspot_sidecar,/home/xgy/remote/snn3dexp/runs/full_3d_thermal_guard/codesign_single_20us_20260322/thermal_sidecar/summary/thermal_summary.json,/home/xgy/remote/snn3dexp/runs/full_3d_thermal_guard/codesign_single_20us_20260322/thermal_sidecar/summary/window_power_samples.jsonl,70.0,effective_config.thermal.hotspot_threshold_c,0,0,0,0.0,0.0,0.0,0,0,1,ran,grid,hotspot_steady_temp,45.03000000000003,45.02036458333355,-45.03000000000003,-45.02036458333355,0,0,58560,23750,40000,4
full_3d_runtime_adaptive,Full 3D + Runtime Adaptive,codesign_single_20us_20260322,4x4x2,SnnDL.MulticastRouter3DNative,hbm_like,hbm_like,smoke_passed,True,adaptive_control,runtime_smoke,3d_aware,0.0234375,0.90625,0.40625,0.42134562841530054,0.5,1.0,0.4319518442622951,1.2270654419635079,0.038853116267768106,2.0,0.30371614049692625,1.79817320640222,0.5262218201543085,adaptive_3d,joint_runtime,thermal_hooks,local_hotspot_sidecar,/home/xgy/remote/snn3dexp/runs/full_3d_runtime_adaptive/codesign_single_20us_20260322/thermal_sidecar/summary/thermal_summary.json,/home/xgy/remote/snn3dexp/runs/full_3d_runtime_adaptive/codesign_single_20us_20260322/thermal_sidecar/summary/window_power_samples.jsonl,70.0,effective_config.thermal.hotspot_threshold_c,256,1,1,0.0,0.0,0.0,0,0,1,ran,grid,hotspot_steady_temp,45.03000000000003,45.029999999999966,-45.03000000000003,-45.029999999999966,0,0,58560,23750,40000,4
noc_only_3d_bundle_fault_v3,NoC-Only 3D + Bundle Fault v3,codesign_single_20us_20260322,4x4x2,SnnDL.MulticastRouter3DNative,legacy_per_pe,legacy_per_pe,smoke_passed,False,observe_only,runtime_smoke,z_mirror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,disabled,disabled,thermal_hooks,runtime_observability_only,,,70.0,effective_config.thermal.hotspot_threshold_c,0,0,0,0.0,0.0,0.0,0,0,0,disabled,,,0.0,0.0,0.0,0.0,0,0,0,0,0,0
