row_family,workload_family,case_id,case_label,run_tag,memory_kind,memory_model_family,memory_graph_type,status,route_memory_joint_available,route_memory_joint_summary_path,route_semantic_overlay_applied,route_semantic_overlay_run_tag,route_semantic_overlay_source,memory_requests_total,memory_requests_per_completed_step,stall_on_step_gate_cycles_total,stall_on_step_gate_cycles_per_completed_step,synapse_gather_demands,stream_region_demands,writeback_region_demands,metadata_lookup_demands,metadata_lookup_issued,synapse_gather_issued,stream_region_issued,writeback_region_issued,router_bundle_v3_rx_total,tx_bundle_v3_packets_total,tx_spikekey_v4_packets_total,gas_scatter_spikes_emitted_total,total_service_deficit,vertical_hops_ratio,remote_home_ratio,direct_v4_share,tile_bundle_v3_share,vertical_link_pressure,reliability_penalty,most_pressured_region,metadata_lookup_backlog,synapse_gather_backlog,stream_region_backlog,writeback_region_backlog,stream_region_issue_efficiency,writeback_region_issue_efficiency,dominant_home_access_class,dominant_home_stack_id,attributed_service_deficit_total,unattributed_service_deficit,tier_local_home_total_demands,same_xy_cross_tier_total_demands,remote_home_total_demands,tier_local_home_dominant_stack_id,same_xy_cross_tier_dominant_stack_id,remote_home_dominant_stack_id,tier_local_home_service_deficit_attribution,same_xy_cross_tier_service_deficit_attribution,remote_home_service_deficit_attribution,tier_local_home_access_ratio,same_xy_cross_tier_access_ratio,remote_home_access_ratio,active_stack_utilization,most_pressured_stack_id,most_pressured_stack_service_deficit,most_pressured_controller_count,most_pressured_controller_service_deficit_proxy,real_controller_pressure_available,controller_runtime_source,active_controller_count,most_pressured_runtime_stack_id,most_pressured_runtime_controller_id,max_controller_outstanding_requests_accum,max_controller_cycles_attempted_issue_but_rejected,controller_runtime_total_requests_received,controller_runtime_total_cycles_attempted_issue_but_rejected,stack_memory_request_skew,stack_service_deficit_skew,compare_kind,base_case_id,compare_case_id,memory_requests_total_delta,total_service_deficit_delta,vertical_hops_ratio_delta,remote_home_ratio_delta,tier_local_home_access_ratio_delta,same_xy_cross_tier_access_ratio_delta,remote_home_access_ratio_delta,tier_local_home_total_demands_delta,same_xy_cross_tier_total_demands_delta,remote_home_total_demands_delta,tier_local_home_service_deficit_attribution_delta,same_xy_cross_tier_service_deficit_attribution_delta,remote_home_service_deficit_attribution_delta,most_pressured_controller_service_deficit_proxy_delta,active_stack_utilization_delta,most_pressured_stack_service_deficit_delta,stack_memory_request_skew_delta,stack_service_deficit_skew_delta,attributed_service_deficit_total_delta,vertical_link_pressure_delta,reliability_penalty_delta,base_memory_requests_total,compare_memory_requests_total,base_total_service_deficit,compare_total_service_deficit,base_vertical_hops_ratio,compare_vertical_hops_ratio,base_remote_home_ratio,compare_remote_home_ratio,base_remote_home_access_ratio,compare_remote_home_access_ratio,base_remote_home_total_demands,compare_remote_home_total_demands,base_tier_local_home_total_demands,compare_tier_local_home_total_demands,base_active_stack_utilization,compare_active_stack_utilization,base_most_pressured_stack_service_deficit,compare_most_pressured_stack_service_deficit,base_dominant_home_stack_id,compare_dominant_home_stack_id,base_most_pressured_controller_count,compare_most_pressured_controller_count,base_most_pressured_controller_service_deficit_proxy,compare_most_pressured_controller_service_deficit_proxy,base_vertical_link_pressure,compare_vertical_link_pressure,base_reliability_penalty,compare_reliability_penalty,base_dominant_home_access_class,compare_dominant_home_access_class,compare_source_run_tag,compare_source_path,metric_group,metric_key,base_value,compare_value,delta,amplification_ratio,delta_ratio,base_most_pressured_region,compare_most_pressured_region,step_budget,stop_at,spike_budget_label,spike_budget_override,test_max_spikes,global_step_ctrl_max_steps,steps_completed,base_test_max_spikes,compare_test_max_spikes,memory_requests_total_amplification_ratio,memory_requests_total_delta_ratio,memory_requests_per_completed_step_delta,memory_requests_per_completed_step_amplification_ratio,memory_requests_per_completed_step_delta_ratio,stall_on_step_gate_cycles_total_delta,stall_on_step_gate_cycles_total_amplification_ratio,stall_on_step_gate_cycles_total_delta_ratio,stall_on_step_gate_cycles_per_completed_step_delta,stall_on_step_gate_cycles_per_completed_step_amplification_ratio,stall_on_step_gate_cycles_per_completed_step_delta_ratio,synapse_gather_demands_delta,synapse_gather_demands_amplification_ratio,synapse_gather_demands_delta_ratio,stream_region_demands_delta,stream_region_demands_amplification_ratio,stream_region_demands_delta_ratio,writeback_region_demands_delta,writeback_region_demands_amplification_ratio,writeback_region_demands_delta_ratio,router_bundle_v3_rx_total_delta,router_bundle_v3_rx_total_amplification_ratio,router_bundle_v3_rx_total_delta_ratio,tx_bundle_v3_packets_total_delta,tx_bundle_v3_packets_total_amplification_ratio,tx_bundle_v3_packets_total_delta_ratio,tx_spikekey_v4_packets_total_delta,tx_spikekey_v4_packets_total_amplification_ratio,tx_spikekey_v4_packets_total_delta_ratio,gas_scatter_spikes_emitted_total_delta,gas_scatter_spikes_emitted_total_amplification_ratio,gas_scatter_spikes_emitted_total_delta_ratio,base_run_tag,compare_run_tag,base_spike_budget_label,compare_spike_budget_label,hotspot_threshold_c,hotspot_threshold_source,case_count
traffic_mem_baseline,traffic_mem,full_3d_snn_window,Windowed SNN Direct v4 + HBM-like,controller_runtime_refresh_20260322,hbm_like,hbm_like,memHierarchy_shared_stack,smoke_passed,True,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/controller_runtime_refresh_20260322/route_memory_joint_summary.json,False,,,234,0.0,28324,0.0,64,64,24,0,0,64,64,24,0,0,334,24,0,0.48717948717948717,0.5,1.0,0.0,0.0,0.0,metadata_lookup,0,0,0,0,1.0,1.0,tier_local_home,0,0.0,0.0,64,64,0,0,3,3,0.0,0.0,0.0,0.25,0.65625,0.09375,1.0,3,0,4,0.0,True,controller_summary,16,3,12,227669,1644,6252,26196,1.1965811965811965,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
traffic_mem_baseline,traffic_mem,full_3d_snn_window_bundle_v3,Windowed SNN Bundle v3 + HBM-like,controller_runtime_refresh_20260322,hbm_like,hbm_like,memHierarchy_shared_stack,smoke_passed,True,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_bundle_v3/controller_runtime_refresh_20260322/route_memory_joint_summary.json,False,,,912,0.0,34852,0.0,276,256,96,0,0,276,248,96,258,88,0,96,8,0.4605263157894737,0.5,0.0,1.0,0.0,0.0,stream_region,0,0,8,0,0.96875,1.0,tier_local_home,0,8.0,0.0,276,256,0,0,3,3,4.0,4.0,0.0,0.25,0.65625,0.09375,1.0,3,8,4,2.0,True,controller_summary,16,2,8,194169,1372,6507,21844,1.131578947368421,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
traffic_mem_baseline,traffic_mem,full_3d_snn_window_monolithic_proxy,Windowed SNN Direct v4 + Monolithic-like,controller_runtime_refresh_20260322,monolithic_like,monolithic_like,memHierarchy_tier_local_stack,smoke_passed,True,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_monolithic_proxy/controller_runtime_refresh_20260322/route_memory_joint_summary.json,False,,,416,0.0,15768,0.0,64,128,48,0,0,64,128,48,0,0,364,48,0,0.0,0.0,1.0,0.0,0.0,0.0,metadata_lookup,0,0,0,0,1.0,1.0,tier_local_home,0,0.0,0.0,192,0,96,0,4,3,0.0,0.0,0.0,0.25,0.25,0.5,1.0,3,0,2,0.0,True,controller_summary,16,3,6,100523,0,15560,0,1.1923076923076923,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
traffic_mem_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,traffic_mem_monolithic_vs_hbm,full_3d_snn_window,full_3d_snn_window_monolithic_proxy,182,0,-0.48717948717948717,-0.5,0.0,-0.40625,0.40625,128,-64,96,0.0,0.0,0.0,0.0,0.0,0,-0.004273504273504258,0.0,0.0,-0.29182692307692304,-0.03577131239653786,234,416,0,0,0.48717948717948717,0.0,0.5,0.0,0.09375,0.5,0,96,64,192,1.0,1.0,0,0,0,0,4,2,0.0,0.0,0.44182692307692306,0.15,0.5755691317646698,0.539797819368132,tier_local_home,tier_local_home,controller_runtime_refresh_20260322,/home/xgy/remote/snn3dexp/analysis/windowed_controller_runtime_refresh_20260322_ablation.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
traffic_mem_mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,traffic_mem_monolithic_vs_hbm,full_3d_snn_window,full_3d_snn_window_monolithic_proxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tier_local_home,tier_local_home,controller_runtime_refresh_20260322,/home/xgy/remote/snn3dexp/analysis/windowed_controller_runtime_refresh_20260322_ablation.json,memory_requests,memory_requests_total,234,416,182,1.7777777777777777,0.7777777777777778,metadata_lookup,metadata_lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
traffic_mem_mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,traffic_mem_monolithic_vs_hbm,full_3d_snn_window,full_3d_snn_window_monolithic_proxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tier_local_home,tier_local_home,controller_runtime_refresh_20260322,/home/xgy/remote/snn3dexp/analysis/windowed_controller_runtime_refresh_20260322_ablation.json,service,total_service_deficit,0,0,0,,,metadata_lookup,metadata_lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
traffic_mem_mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,traffic_mem_monolithic_vs_hbm,full_3d_snn_window,full_3d_snn_window_monolithic_proxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tier_local_home,tier_local_home,controller_runtime_refresh_20260322,/home/xgy/remote/snn3dexp/analysis/windowed_controller_runtime_refresh_20260322_ablation.json,topology,vertical_hops_ratio,0.48717948717948717,0.0,-0.48717948717948717,0.0,-1.0,metadata_lookup,metadata_lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
traffic_mem_mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,traffic_mem_monolithic_vs_hbm,full_3d_snn_window,full_3d_snn_window_monolithic_proxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tier_local_home,tier_local_home,controller_runtime_refresh_20260322,/home/xgy/remote/snn3dexp/analysis/windowed_controller_runtime_refresh_20260322_ablation.json,routing_locality,remote_home_ratio,0.5,0.0,-0.5,0.0,-1.0,metadata_lookup,metadata_lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
traffic_mem_mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,traffic_mem_monolithic_vs_hbm,full_3d_snn_window,full_3d_snn_window_monolithic_proxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tier_local_home,tier_local_home,controller_runtime_refresh_20260322,/home/xgy/remote/snn3dexp/analysis/windowed_controller_runtime_refresh_20260322_ablation.json,home_semantics,tier_local_home_access_ratio,0.25,0.25,0.0,1.0,0.0,metadata_lookup,metadata_lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
traffic_mem_mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,traffic_mem_monolithic_vs_hbm,full_3d_snn_window,full_3d_snn_window_monolithic_proxy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tier_local_home,tier_local_home,controller_runtime_refresh_20260322,/home/xgy/remote/snn3dexp/analysis/windowed_controller_runtime_refresh_20260322_ablation.json,home_semantics,same_xy_cross_tier_access_ratio,0.65625,0.25,-0.40625,0.38095238095238093,-0.6190476190476191,metadata_lookup,metadata_lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
