metric_key,metric_label,value_kind,base_case_id,compare_case_id,base_value,compare_value,delta
memory_requests_total,Memory Requests,int,full_3d_snn_window,full_3d_snn_window_bundle_v3,0,0,0
stream_region_demands,Stream-Region Demands,int,full_3d_snn_window,full_3d_snn_window_bundle_v3,0,0,0
stream_region_issued,Stream-Region Issued,int,full_3d_snn_window,full_3d_snn_window_bundle_v3,0,0,0
stream_region_backlog,Stream-Region Backlog,int,full_3d_snn_window,full_3d_snn_window_bundle_v3,0,0,0
stream_region_issue_efficiency,Stream-Region Issue Efficiency,float,full_3d_snn_window,full_3d_snn_window_bundle_v3,0.0,0.0,0.0
stream_region_bytes_written_total,Stream-Region Bytes Written,int,full_3d_snn_window,full_3d_snn_window_bundle_v3,0,0,0
stream_region_bytes_read_total,Stream-Region Bytes Read,int,full_3d_snn_window,full_3d_snn_window_bundle_v3,0,0,0
writeback_region_demands,Writeback Demands,int,full_3d_snn_window,full_3d_snn_window_bundle_v3,0,0,0
writeback_region_issued,Writeback Issued,int,full_3d_snn_window,full_3d_snn_window_bundle_v3,0,0,0
writeback_region_backlog,Writeback Backlog,int,full_3d_snn_window,full_3d_snn_window_bundle_v3,0,0,0
writeback_region_issue_efficiency,Writeback Issue Efficiency,float,full_3d_snn_window,full_3d_snn_window_bundle_v3,0.0,0.0,0.0
writeback_region_bytes_written_total,Writeback Bytes Written,int,full_3d_snn_window,full_3d_snn_window_bundle_v3,0,0,0
writeback_region_bytes_read_total,Writeback Bytes Read,int,full_3d_snn_window,full_3d_snn_window_bundle_v3,0,0,0
