run_tag,step_budget,stop_at,spike_budget_label,spike_budget_override,case_id,case_label,memory_kind,memory_model_family,memory_graph_type,test_max_spikes,global_step_ctrl_max_steps,steps_completed,memory_requests_total,memory_requests_per_completed_step,stall_on_step_gate_cycles_total,stall_on_step_gate_cycles_per_completed_step,synapse_gather_demands,stream_region_demands,writeback_region_demands,router_bundle_v3_rx_total,tx_bundle_v3_packets_total,tx_spikekey_v4_packets_total,gas_scatter_spikes_emitted_total,compare_surface,total_service_deficit,most_pressured_region,dominant_home_access_class,dominant_home_stack_id,dominant_home_controller_ids,dominant_home_controller_count,most_pressured_controller_count,most_pressured_controller_service_deficit_proxy,controller_runtime_source,real_controller_pressure_available,most_pressured_runtime_stack_id,most_pressured_runtime_controller_id,tier_local_home_dominant_controller_ids,tier_local_home_dominant_controller_count,tier_local_home_dominant_stack_demand_share,same_xy_cross_tier_dominant_controller_ids,same_xy_cross_tier_dominant_controller_count,same_xy_cross_tier_dominant_stack_demand_share,remote_home_dominant_controller_ids,remote_home_dominant_controller_count,remote_home_dominant_stack_demand_share,active_controller_count,max_controller_outstanding_requests_accum,max_controller_cycles_attempted_issue_but_rejected,controller_runtime_total_requests_received,controller_runtime_total_cycles_attempted_issue_but_rejected,home_stack_dataflow_available,dominant_dataflow_initiator_kind,dominant_dataflow_region,pe_nic_home_stack_demands_total,pe_nic_home_stack_service_deficit_total,pe_nic_home_stack_dominant_region,synapse_home_stack_demands_total,synapse_home_stack_service_deficit_total,synapse_home_stack_dominant_region,dataflow_controller_alignment_kind,dataflow_runtime_home_access_class,pe_nic_dominant_stack_id,pe_nic_dominant_stack_demand_share,pe_nic_dominant_stack_service_deficit_proxy,pe_nic_dominant_controller_ids,pe_nic_dominant_controller_count,pe_nic_runtime_hotspot_stack_overlap,synapse_dominant_stack_id,synapse_dominant_stack_demand_share,synapse_dominant_stack_service_deficit_proxy,synapse_dominant_controller_ids,synapse_dominant_controller_count,synapse_runtime_hotspot_stack_overlap,pe_nic_controller_pressure_available,pe_nic_dominant_controller_requests_received_total,pe_nic_dominant_controller_outstanding_requests_accum,pe_nic_dominant_controller_cycles_attempted_issue_but_rejected,pe_nic_dominant_controller_max_issue_reject_ratio,synapse_controller_pressure_available,synapse_dominant_controller_requests_received_total,synapse_dominant_controller_outstanding_requests_accum,synapse_dominant_controller_cycles_attempted_issue_but_rejected,synapse_dominant_controller_max_issue_reject_ratio,pe_nic_real_home_path_available,pe_nic_real_home_path_signature,pe_nic_real_home_path_demand_total,pe_nic_real_home_path_issued_total,pe_nic_real_home_path_service_deficit_total,pe_nic_real_home_path_issue_efficiency,pe_nic_real_home_path_dominant_stage,synapse_real_home_path_available,synapse_real_home_path_signature,synapse_real_home_path_demand_total,synapse_real_home_path_issued_total,synapse_real_home_path_service_deficit_total,synapse_real_home_path_issue_efficiency,synapse_real_home_path_dominant_stage,real_synapse_source_count,semantic_addressing_enabled,traffic_runtime_enabled,home_access_pressure_enabled,home_stack_controller_proxy_available,route_source_workload_impl,route_source_mapping_mode,route_source_primary_kind,route_native_bootstrap_source,route_bootstrap_dependency_active,route_native_bootstrap_ready,route_real_synapse_inputs_available,route_native_synapse_source_candidate,real_controller_pressure_available_from_summary,processing_runtime_mode,dominant_pressure_region,real_home_traffic_signal_level,real_home_traffic_signal_rank,real_home_traffic_ready,runtime_alignment_evaluable,dominant_home_runtime_controller_overlap,dominant_home_runtime_overlap_controller_id,same_stack_overlap,same_stack_overlap_stack_id,same_controller_overlap,same_controller_overlap_controller_id,runtime_controller_home_access_class,same_class_overlap,same_class_overlap_class,home_region_joint_attribution,tier_local_home_runtime_controller_overlap,tier_local_home_runtime_overlap_controller_id,same_xy_cross_tier_runtime_controller_overlap,same_xy_cross_tier_runtime_overlap_controller_id,remote_home_runtime_controller_overlap,remote_home_runtime_overlap_controller_id,runtime_pressure_transfer_kind
native_dense_fixed_step_4_10us,4,10us,default,0,full_3d_snn_window,direct_v4_hbm,hbm_like,hbm_like,memHierarchy_shared_stack,8,4,3,448,149.33333333333334,92665,30888.333333333332,64,128,64,0,0,300,64,"{'case_id': 'full_3d_snn_window', 'case_label': 'direct_v4_hbm', 'run_tag': 'native_dense_fixed_step_4_10us', 'case_role': 'fixed_step_window', 'control_mode': 'fixed_step_budget', 'runtime_enabled': False, 'workload_impl': 'snn', 'memory_kind': 'hbm_like', 'memory_model_family': 'hbm_like', 'memory_graph_type': 'memHierarchy_shared_stack', 'step_budget': 4, 'stop_at': '10us', 'spike_budget_label': 'default'}",0,metadata_lookup,tier_local_home,0,"0,1,2,3",4,4,0.0,controller_summary,True,1,4,"0,1,2,3",4,0.25,"12,13,14,15",4,0.2857142857142857,"12,13,14,15",4,0.6666666666666666,16,1412803,9002,20684,133519,True,pe_nic_to_home_stack,stream_region,192,0,stream_region,64,0,synapse_gather,runtime_class_unresolved,,3,0.26785714285714285,0.0,"12,13,14,15",4,False,0,0.25,0.0,"0,1,2,3",4,False,True,5171,4930987,33364,0.8887,True,5171,4930405,33364,0.8887,True,stream_region->writeback_region,48,48,0,1.0,stream_region,True,synapse_gather,16,16,0,1.0,synapse_gather,32,True,True,True,True,snn,dense,legacy_route_tables_with_real_synapse_inputs,legacy_route_tables,True,True,True,True,True,mixed,metadata_lookup,runtime_controller,5,True,True,False,-1,False,-1,False,-1,,False,,tier_local_home:metadata_lookup,False,-1,False,-1,False,-1,runtime_class_unresolved
native_dense_fixed_step_4_10us,4,10us,default,0,full_3d_snn_window_bundle_v3,bundle_v3_hbm,hbm_like,hbm_like,memHierarchy_shared_stack,8,4,2,1256,628.0,88930,44465.0,320,336,132,256,73,0,132,"{'case_id': 'full_3d_snn_window_bundle_v3', 'case_label': 'bundle_v3_hbm', 'run_tag': 'native_dense_fixed_step_4_10us', 'case_role': 'fixed_step_window', 'control_mode': 'fixed_step_budget', 'runtime_enabled': False, 'workload_impl': 'snn', 'memory_kind': 'hbm_like', 'memory_model_family': 'hbm_like', 'memory_graph_type': 'memHierarchy_shared_stack', 'step_budget': 4, 'stop_at': '10us', 'spike_budget_label': 'default'}",0,metadata_lookup,same_xy_cross_tier,3,"12,13,14,15",4,4,0.0,controller_summary,True,3,12,"0,1,2,3",4,0.25,"12,13,14,15",4,0.2857142857142857,"12,13,14,15",4,0.6666666666666666,16,1287618,8661,16864,130268,True,pe_nic_to_home_stack,stream_region,468,0,stream_region,320,0,synapse_gather,aligned_same_controller,same_xy_cross_tier,3,0.2682926829268293,0.0,"12,13,14,15",4,True,3,0.2625,0.0,"12,13,14,15",4,True,True,4215,4574824,32835,0.8661,True,4215,4574824,32835,0.8661,True,stream_region->writeback_region,116,116,0,1.0,stream_region,True,synapse_gather,84,84,0,1.0,synapse_gather,32,True,True,True,True,snn,dense,legacy_route_tables_with_real_synapse_inputs,legacy_route_tables,True,True,True,True,True,mixed,metadata_lookup,runtime_controller,5,True,True,True,12,True,3,True,12,same_xy_cross_tier,True,same_xy_cross_tier,same_xy_cross_tier:metadata_lookup,False,-1,True,12,True,12,aligned_same_controller
native_dense_fixed_step_4_10us,4,10us,default,0,full_3d_snn_window_monolithic_proxy,direct_v4_monolithic,monolithic_like,monolithic_like,memHierarchy_tier_local_stack,8,4,4,448,112.0,9472,2368.0,64,128,64,0,0,300,64,"{'case_id': 'full_3d_snn_window_monolithic_proxy', 'case_label': 'direct_v4_monolithic', 'run_tag': 'native_dense_fixed_step_4_10us', 'case_role': 'fixed_step_window', 'control_mode': 'fixed_step_budget', 'runtime_enabled': False, 'workload_impl': 'snn', 'memory_kind': 'monolithic_like', 'memory_model_family': 'monolithic_like', 'memory_graph_type': 'memHierarchy_tier_local_stack', 'step_budget': 4, 'stop_at': '10us', 'spike_budget_label': 'default'}",0,metadata_lookup,tier_local_home,0,"0,1",2,2,0.0,controller_summary,True,0,0,"0,1",2,0.25,"8,9",2,0.25,"6,7",2,0.25,16,175311,0,20696,0,True,pe_nic_to_home_stack,stream_region,192,0,stream_region,64,0,synapse_gather,aligned_same_controller,tier_local_home,3,0.25,0.0,"6,7",2,False,0,0.125,0.0,"0,1",2,True,True,2587,350227,0,0.0,True,2587,350227,0,0.0,True,stream_region->writeback_region,24,24,0,1.0,stream_region,True,synapse_gather,8,8,0,1.0,synapse_gather,32,True,True,True,True,snn,dense,legacy_route_tables_with_real_synapse_inputs,legacy_route_tables,True,True,True,True,True,mixed,metadata_lookup,runtime_controller,5,True,True,True,0,True,0,True,0,tier_local_home,True,tier_local_home,tier_local_home:metadata_lookup,True,0,False,-1,False,-1,aligned_same_controller
native_dense_fixed_step_4_10us_sp64,4,10us,sp64,64,full_3d_snn_window,direct_v4_hbm,hbm_like,hbm_like,memHierarchy_shared_stack,64,4,3,448,149.33333333333334,92665,30888.333333333332,64,128,64,0,0,1980,64,"{'case_id': 'full_3d_snn_window', 'case_label': 'direct_v4_hbm', 'run_tag': 'native_dense_fixed_step_4_10us_sp64', 'case_role': 'fixed_step_window', 'control_mode': 'fixed_step_budget', 'runtime_enabled': False, 'workload_impl': 'snn', 'memory_kind': 'hbm_like', 'memory_model_family': 'hbm_like', 'memory_graph_type': 'memHierarchy_shared_stack', 'step_budget': 4, 'stop_at': '10us', 'spike_budget_label': 'sp64'}",0,metadata_lookup,tier_local_home,0,"0,1,2,3",4,4,0.0,controller_summary,True,1,4,"0,1,2,3",4,0.25,"12,13,14,15",4,0.2857142857142857,"12,13,14,15",4,0.6666666666666666,16,1412803,9002,20684,133519,True,pe_nic_to_home_stack,stream_region,192,0,stream_region,64,0,synapse_gather,runtime_class_unresolved,,3,0.26785714285714285,0.0,"12,13,14,15",4,False,0,0.25,0.0,"0,1,2,3",4,False,True,5171,4930987,33364,0.8887,True,5171,4930405,33364,0.8887,True,stream_region->writeback_region,48,48,0,1.0,stream_region,True,synapse_gather,16,16,0,1.0,synapse_gather,32,True,True,True,True,snn,dense,legacy_route_tables_with_real_synapse_inputs,legacy_route_tables,True,True,True,True,True,mixed,metadata_lookup,runtime_controller,5,True,True,False,-1,False,-1,False,-1,,False,,tier_local_home:metadata_lookup,False,-1,False,-1,False,-1,runtime_class_unresolved
native_dense_fixed_step_4_10us_sp64,4,10us,sp64,64,full_3d_snn_window_bundle_v3,bundle_v3_hbm,hbm_like,hbm_like,memHierarchy_shared_stack,64,4,2,1760,880.0,74946,37473.0,256,512,240,1497,428,0,240,"{'case_id': 'full_3d_snn_window_bundle_v3', 'case_label': 'bundle_v3_hbm', 'run_tag': 'native_dense_fixed_step_4_10us_sp64', 'case_role': 'fixed_step_window', 'control_mode': 'fixed_step_budget', 'runtime_enabled': False, 'workload_impl': 'snn', 'memory_kind': 'hbm_like', 'memory_model_family': 'hbm_like', 'memory_graph_type': 'memHierarchy_shared_stack', 'step_budget': 4, 'stop_at': '10us', 'spike_budget_label': 'sp64'}",0,metadata_lookup,tier_local_home,0,"0,1,2,3",4,4,0.0,controller_summary,True,1,4,"0,1,2,3",4,0.25,"12,13,14,15",4,0.2857142857142857,"12,13,14,15",4,0.6666666666666666,16,1314396,8699,17148,132009,True,pe_nic_to_home_stack,stream_region,752,0,stream_region,256,0,synapse_gather,runtime_class_unresolved,,3,0.26785714285714285,0.0,"12,13,14,15",4,False,0,0.25,0.0,"0,1,2,3",4,False,True,4287,4928619,33211,0.8659,True,4287,4926549,33211,0.8659,True,stream_region->writeback_region,188,188,0,1.0,stream_region,True,synapse_gather,64,64,0,1.0,synapse_gather,32,True,True,True,True,snn,dense,legacy_route_tables_with_real_synapse_inputs,legacy_route_tables,True,True,True,True,True,mixed,metadata_lookup,runtime_controller,5,True,True,False,-1,False,-1,False,-1,,False,,tier_local_home:metadata_lookup,False,-1,False,-1,False,-1,runtime_class_unresolved
native_dense_fixed_step_4_10us_sp64,4,10us,sp64,64,full_3d_snn_window_monolithic_proxy,direct_v4_monolithic,monolithic_like,monolithic_like,memHierarchy_tier_local_stack,64,4,4,448,112.0,9472,2368.0,64,128,64,0,0,1980,64,"{'case_id': 'full_3d_snn_window_monolithic_proxy', 'case_label': 'direct_v4_monolithic', 'run_tag': 'native_dense_fixed_step_4_10us_sp64', 'case_role': 'fixed_step_window', 'control_mode': 'fixed_step_budget', 'runtime_enabled': False, 'workload_impl': 'snn', 'memory_kind': 'monolithic_like', 'memory_model_family': 'monolithic_like', 'memory_graph_type': 'memHierarchy_tier_local_stack', 'step_budget': 4, 'stop_at': '10us', 'spike_budget_label': 'sp64'}",0,metadata_lookup,tier_local_home,0,"0,1",2,2,0.0,controller_summary,True,0,0,"0,1",2,0.25,"8,9",2,0.25,"6,7",2,0.25,16,175311,0,20696,0,True,pe_nic_to_home_stack,stream_region,192,0,stream_region,64,0,synapse_gather,aligned_same_controller,tier_local_home,3,0.25,0.0,"6,7",2,False,0,0.125,0.0,"0,1",2,True,True,2587,350227,0,0.0,True,2587,350227,0,0.0,True,stream_region->writeback_region,24,24,0,1.0,stream_region,True,synapse_gather,8,8,0,1.0,synapse_gather,32,True,True,True,True,snn,dense,legacy_route_tables_with_real_synapse_inputs,legacy_route_tables,True,True,True,True,True,mixed,metadata_lookup,runtime_controller,5,True,True,True,0,True,0,True,0,tier_local_home,True,tier_local_home,tier_local_home:metadata_lookup,True,0,False,-1,False,-1,aligned_same_controller
native_dense_fixed_step_8_20us,8,20us,default,0,full_3d_snn_window,direct_v4_hbm,hbm_like,hbm_like,memHierarchy_shared_stack,8,8,8,448,56.0,126289,15786.125,64,128,64,0,0,300,64,"{'case_id': 'full_3d_snn_window', 'case_label': 'direct_v4_hbm', 'run_tag': 'native_dense_fixed_step_8_20us', 'case_role': 'fixed_step_window', 'control_mode': 'fixed_step_budget', 'runtime_enabled': False, 'workload_impl': 'snn', 'memory_kind': 'hbm_like', 'memory_model_family': 'hbm_like', 'memory_graph_type': 'memHierarchy_shared_stack', 'step_budget': 8, 'stop_at': '20us', 'spike_budget_label': 'default'}",0,metadata_lookup,tier_local_home,0,"0,1,2,3",4,4,0.0,controller_summary,True,1,4,"0,1,2,3",4,0.25,"12,13,14,15",4,0.2857142857142857,"12,13,14,15",4,0.6666666666666666,16,1713716,11035,20684,164769,True,pe_nic_to_home_stack,stream_region,192,0,stream_region,64,0,synapse_gather,runtime_class_unresolved,,3,0.26785714285714285,0.0,"12,13,14,15",4,False,0,0.25,0.0,"0,1,2,3",4,False,True,5171,6050974,41166,0.5439,True,5171,6050392,41166,0.5439,True,stream_region->writeback_region,48,48,0,1.0,stream_region,True,synapse_gather,16,16,0,1.0,synapse_gather,32,True,True,True,True,snn,dense,legacy_route_tables_with_real_synapse_inputs,legacy_route_tables,True,True,True,True,True,mixed,metadata_lookup,runtime_controller,5,True,True,False,-1,False,-1,False,-1,,False,,tier_local_home:metadata_lookup,False,-1,False,-1,False,-1,runtime_class_unresolved
native_dense_fixed_step_8_20us,8,20us,default,0,full_3d_snn_window_bundle_v3,bundle_v3_hbm,hbm_like,hbm_like,memHierarchy_shared_stack,8,8,8,1484,185.5,203110,25388.75,500,348,144,268,76,0,144,"{'case_id': 'full_3d_snn_window_bundle_v3', 'case_label': 'bundle_v3_hbm', 'run_tag': 'native_dense_fixed_step_8_20us', 'case_role': 'fixed_step_window', 'control_mode': 'fixed_step_budget', 'runtime_enabled': False, 'workload_impl': 'snn', 'memory_kind': 'hbm_like', 'memory_model_family': 'hbm_like', 'memory_graph_type': 'memHierarchy_shared_stack', 'step_budget': 8, 'stop_at': '20us', 'spike_budget_label': 'default'}",0,metadata_lookup,same_xy_cross_tier,3,"12,13,14,15",4,4,0.0,controller_summary,True,1,4,"0,1,2,3",4,0.25,"12,13,14,15",4,0.2857142857142857,"12,13,14,15",4,0.6666666666666666,16,1362182,9500,19320,145365,True,synapse_source_to_home_stack,synapse_gather,492,0,stream_region,500,0,synapse_gather,runtime_class_unresolved,,3,0.2695417789757413,0.0,"12,13,14,15",4,False,3,0.264,0.0,"12,13,14,15",4,False,True,4727,4869685,36122,0.4741,True,4727,4869685,36122,0.4741,True,stream_region->writeback_region,116,116,0,1.0,stream_region,True,synapse_gather,132,132,0,1.0,synapse_gather,32,True,True,True,True,snn,dense,legacy_route_tables_with_real_synapse_inputs,legacy_route_tables,True,True,True,True,True,mixed,metadata_lookup,runtime_controller,5,True,True,False,-1,False,-1,False,-1,,False,,same_xy_cross_tier:metadata_lookup,False,-1,False,-1,False,-1,runtime_class_unresolved
native_dense_fixed_step_8_20us,8,20us,default,0,full_3d_snn_window_monolithic_proxy,direct_v4_monolithic,monolithic_like,monolithic_like,memHierarchy_tier_local_stack,8,8,8,448,56.0,12800,1600.0,64,128,64,0,0,300,64,"{'case_id': 'full_3d_snn_window_monolithic_proxy', 'case_label': 'direct_v4_monolithic', 'run_tag': 'native_dense_fixed_step_8_20us', 'case_role': 'fixed_step_window', 'control_mode': 'fixed_step_budget', 'runtime_enabled': False, 'workload_impl': 'snn', 'memory_kind': 'monolithic_like', 'memory_model_family': 'monolithic_like', 'memory_graph_type': 'memHierarchy_tier_local_stack', 'step_budget': 8, 'stop_at': '20us', 'spike_budget_label': 'default'}",0,metadata_lookup,tier_local_home,0,"0,1",2,2,0.0,controller_summary,True,0,0,"0,1",2,0.25,"8,9",2,0.25,"6,7",2,0.25,16,175311,0,20696,0,True,pe_nic_to_home_stack,stream_region,192,0,stream_region,64,0,synapse_gather,aligned_same_controller,tier_local_home,3,0.25,0.0,"6,7",2,False,0,0.125,0.0,"0,1",2,True,True,2587,350227,0,0.0,True,2587,350227,0,0.0,True,stream_region->writeback_region,24,24,0,1.0,stream_region,True,synapse_gather,8,8,0,1.0,synapse_gather,32,True,True,True,True,snn,dense,legacy_route_tables_with_real_synapse_inputs,legacy_route_tables,True,True,True,True,True,mixed,metadata_lookup,runtime_controller,5,True,True,True,0,True,0,True,0,tier_local_home,True,tier_local_home,tier_local_home:metadata_lookup,True,0,False,-1,False,-1,aligned_same_controller
native_dense_fixed_step_8_20us_sp64,8,20us,sp64,64,full_3d_snn_window,direct_v4_hbm,hbm_like,hbm_like,memHierarchy_shared_stack,64,8,8,448,56.0,126289,15786.125,64,128,64,0,0,1980,64,"{'case_id': 'full_3d_snn_window', 'case_label': 'direct_v4_hbm', 'run_tag': 'native_dense_fixed_step_8_20us_sp64', 'case_role': 'fixed_step_window', 'control_mode': 'fixed_step_budget', 'runtime_enabled': False, 'workload_impl': 'snn', 'memory_kind': 'hbm_like', 'memory_model_family': 'hbm_like', 'memory_graph_type': 'memHierarchy_shared_stack', 'step_budget': 8, 'stop_at': '20us', 'spike_budget_label': 'sp64'}",0,metadata_lookup,tier_local_home,0,"0,1,2,3",4,4,0.0,controller_summary,True,1,4,"0,1,2,3",4,0.25,"12,13,14,15",4,0.2857142857142857,"12,13,14,15",4,0.6666666666666666,16,1713716,11035,20684,164769,True,pe_nic_to_home_stack,stream_region,192,0,stream_region,64,0,synapse_gather,runtime_class_unresolved,,3,0.26785714285714285,0.0,"12,13,14,15",4,False,0,0.25,0.0,"0,1,2,3",4,False,True,5171,6050974,41166,0.5439,True,5171,6050392,41166,0.5439,True,stream_region->writeback_region,48,48,0,1.0,stream_region,True,synapse_gather,16,16,0,1.0,synapse_gather,32,True,True,True,True,snn,dense,legacy_route_tables_with_real_synapse_inputs,legacy_route_tables,True,True,True,True,True,mixed,metadata_lookup,runtime_controller,5,True,True,False,-1,False,-1,False,-1,,False,,tier_local_home:metadata_lookup,False,-1,False,-1,False,-1,runtime_class_unresolved
