run_tag,step_budget,stop_at,spike_budget_label,spike_budget_override,case_id,status,run_root,analysis_root,phase2_case_summary_path,effective_config_path,stack_nmc_summary_path,route_memory_joint_summary_path,runtime_summary_path
native_dense_fixed_step_4_10us,4,10us,default,0,full_3d_snn_window,smoke_passed,/home/xgy/remote/snn3dexp/runs/full_3d_snn_window/native_dense_fixed_step_4_10us,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/native_dense_fixed_step_4_10us,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/native_dense_fixed_step_4_10us/phase2_case_summary.json,,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/native_dense_fixed_step_4_10us/stack_nmc_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/native_dense_fixed_step_4_10us/route_memory_joint_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/native_dense_fixed_step_4_10us/runtime_summary.json
native_dense_fixed_step_4_10us,4,10us,default,0,full_3d_snn_window_bundle_v3,smoke_passed,/home/xgy/remote/snn3dexp/runs/full_3d_snn_window_bundle_v3/native_dense_fixed_step_4_10us,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_bundle_v3/native_dense_fixed_step_4_10us,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_bundle_v3/native_dense_fixed_step_4_10us/phase2_case_summary.json,,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_bundle_v3/native_dense_fixed_step_4_10us/stack_nmc_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_bundle_v3/native_dense_fixed_step_4_10us/route_memory_joint_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_bundle_v3/native_dense_fixed_step_4_10us/runtime_summary.json
native_dense_fixed_step_4_10us,4,10us,default,0,full_3d_snn_window_monolithic_proxy,smoke_passed,/home/xgy/remote/snn3dexp/runs/full_3d_snn_window_monolithic_proxy/native_dense_fixed_step_4_10us,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_monolithic_proxy/native_dense_fixed_step_4_10us,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_monolithic_proxy/native_dense_fixed_step_4_10us/phase2_case_summary.json,,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_monolithic_proxy/native_dense_fixed_step_4_10us/stack_nmc_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_monolithic_proxy/native_dense_fixed_step_4_10us/route_memory_joint_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_monolithic_proxy/native_dense_fixed_step_4_10us/runtime_summary.json
native_dense_fixed_step_4_10us_sp64,4,10us,sp64,64,full_3d_snn_window,smoke_passed,/home/xgy/remote/snn3dexp/runs/full_3d_snn_window/native_dense_fixed_step_4_10us_sp64,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/native_dense_fixed_step_4_10us_sp64,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/native_dense_fixed_step_4_10us_sp64/phase2_case_summary.json,,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/native_dense_fixed_step_4_10us_sp64/stack_nmc_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/native_dense_fixed_step_4_10us_sp64/route_memory_joint_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/native_dense_fixed_step_4_10us_sp64/runtime_summary.json
native_dense_fixed_step_4_10us_sp64,4,10us,sp64,64,full_3d_snn_window_bundle_v3,smoke_passed,/home/xgy/remote/snn3dexp/runs/full_3d_snn_window_bundle_v3/native_dense_fixed_step_4_10us_sp64,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_bundle_v3/native_dense_fixed_step_4_10us_sp64,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_bundle_v3/native_dense_fixed_step_4_10us_sp64/phase2_case_summary.json,,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_bundle_v3/native_dense_fixed_step_4_10us_sp64/stack_nmc_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_bundle_v3/native_dense_fixed_step_4_10us_sp64/route_memory_joint_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_bundle_v3/native_dense_fixed_step_4_10us_sp64/runtime_summary.json
native_dense_fixed_step_4_10us_sp64,4,10us,sp64,64,full_3d_snn_window_monolithic_proxy,smoke_passed,/home/xgy/remote/snn3dexp/runs/full_3d_snn_window_monolithic_proxy/native_dense_fixed_step_4_10us_sp64,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_monolithic_proxy/native_dense_fixed_step_4_10us_sp64,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_monolithic_proxy/native_dense_fixed_step_4_10us_sp64/phase2_case_summary.json,,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_monolithic_proxy/native_dense_fixed_step_4_10us_sp64/stack_nmc_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_monolithic_proxy/native_dense_fixed_step_4_10us_sp64/route_memory_joint_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_monolithic_proxy/native_dense_fixed_step_4_10us_sp64/runtime_summary.json
native_dense_fixed_step_8_20us,8,20us,default,0,full_3d_snn_window,smoke_passed,/home/xgy/remote/snn3dexp/runs/full_3d_snn_window/native_dense_fixed_step_8_20us,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/native_dense_fixed_step_8_20us,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/native_dense_fixed_step_8_20us/phase2_case_summary.json,,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/native_dense_fixed_step_8_20us/stack_nmc_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/native_dense_fixed_step_8_20us/route_memory_joint_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/native_dense_fixed_step_8_20us/runtime_summary.json
native_dense_fixed_step_8_20us,8,20us,default,0,full_3d_snn_window_bundle_v3,smoke_passed,/home/xgy/remote/snn3dexp/runs/full_3d_snn_window_bundle_v3/native_dense_fixed_step_8_20us,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_bundle_v3/native_dense_fixed_step_8_20us,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_bundle_v3/native_dense_fixed_step_8_20us/phase2_case_summary.json,,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_bundle_v3/native_dense_fixed_step_8_20us/stack_nmc_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_bundle_v3/native_dense_fixed_step_8_20us/route_memory_joint_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_bundle_v3/native_dense_fixed_step_8_20us/runtime_summary.json
native_dense_fixed_step_8_20us,8,20us,default,0,full_3d_snn_window_monolithic_proxy,smoke_passed,/home/xgy/remote/snn3dexp/runs/full_3d_snn_window_monolithic_proxy/native_dense_fixed_step_8_20us,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_monolithic_proxy/native_dense_fixed_step_8_20us,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_monolithic_proxy/native_dense_fixed_step_8_20us/phase2_case_summary.json,,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_monolithic_proxy/native_dense_fixed_step_8_20us/stack_nmc_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_monolithic_proxy/native_dense_fixed_step_8_20us/route_memory_joint_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_monolithic_proxy/native_dense_fixed_step_8_20us/runtime_summary.json
native_dense_fixed_step_8_20us_sp64,8,20us,sp64,64,full_3d_snn_window,smoke_passed,/home/xgy/remote/snn3dexp/runs/full_3d_snn_window/native_dense_fixed_step_8_20us_sp64,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/native_dense_fixed_step_8_20us_sp64,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/native_dense_fixed_step_8_20us_sp64/phase2_case_summary.json,,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/native_dense_fixed_step_8_20us_sp64/stack_nmc_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/native_dense_fixed_step_8_20us_sp64/route_memory_joint_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/native_dense_fixed_step_8_20us_sp64/runtime_summary.json
