ComponentName,StatisticName,StatisticSubId,StatisticType,SimTime,Rank,BinsMinValue.u64,BinsMaxValue.u64,BinWidth.u32,TotalNumBins.u32,Sum.u64,SumSQ.u64,NumActiveBins.u32,NumItemsCollected.u64,NumItemsBinned.u64,NumOutOfBounds-MinValue.u64,NumOutOfBounds-MaxValue.u64,Bin0:0-0.u64,Bin1:1-1.u64,Bin2:2-2.u64,Bin3:3-3.u64,Bin4:4-4.u64,Bin5:5-5.u64,Bin6:6-6.u64,Bin7:7-7.u64,Bin8:8-8.u64,Bin9:9-9.u64,Bin10:10-10.u64,Bin11:11-11.u64,Bin12:12-12.u64,Bin13:13-13.u64,Bin14:14-14.u64,Bin15:15-15.u64,Bin16:16-16.u64,Bin17:17-17.u64,Bin18:18-18.u64,Bin19:19-19.u64,Bin20:20-20.u64,Bin21:21-21.u64,Bin22:22-22.u64,Bin23:23-23.u64,Bin24:24-24.u64,Bin25:25-25.u64,Bin26:26-26.u64,Bin27:27-27.u64,Bin28:28-28.u64,Bin29:29-29.u64,Bin30:30-30.u64,Bin31:31-31.u64,Bin32:32-32.u64,Bin33:33-33.u64,Bin34:34-34.u64,Bin35:35-35.u64,Bin36:36-36.u64,Bin37:37-37.u64,Bin38:38-38.u64,Bin39:39-39.u64,Bin40:40-40.u64,Bin41:41-41.u64,Bin42:42-42.u64,Bin43:43-43.u64,Bin44:44-44.u64,Bin45:45-45.u64,Bin46:46-46.u64,Bin47:47-47.u64,Bin48:48-48.u64,Bin49:49-49.u64,Bin50:50-50.u64,Bin51:51-51.u64,Bin52:52-52.u64,Bin53:53-53.u64,Bin54:54-54.u64,Bin55:55-55.u64,Bin56:56-56.u64,Bin57:57-57.u64,Bin58:58-58.u64,Bin59:59-59.u64,Bin60:60-60.u64,Bin61:61-61.u64,Bin62:62-62.u64,Bin63:63-63.u64,Count.u64,Min.u64,Max.u64,Sum.f64,SumSQ.f64,Min.f64,Max.f64
pe0_core2_l1,MSHR_occupancy,,Histogram,100000000,0,0,63,1,64,0,0,1,200000,2,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core6_l1,MSHR_occupancy,,Histogram,100000000,0,0,63,1,64,0,0,1,200000,2,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core14_l1,MSHR_occupancy,,Histogram,100000000,0,0,63,1,64,0,0,1,200000,2,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core10_l1,MSHR_occupancy,,Histogram,100000000,0,0,63,1,64,0,0,1,200000,2,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core3_l1,MSHR_occupancy,,Histogram,100000000,0,0,63,1,64,0,0,1,200000,2,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core11_l1,MSHR_occupancy,,Histogram,100000000,0,0,63,1,64,0,0,1,200000,2,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core19_l1,MSHR_occupancy,,Histogram,100000000,0,0,63,1,64,0,0,1,200000,2,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_l2,MSHR_occupancy,,Histogram,100000000,0,0,63,1,64,0,0,1,200000,2,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multicore_pe_0,total_spikes_processed,,Accumulator,100000000,0,0,0,0,0,24739064,24739064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24739064,1,1,0,0,0,0
multicore_pe_0,inter_core_messages,,Accumulator,100000000,0,0,0,0,0,126667,126667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126667,1,1,0,0,0,0
multicore_pe_0,memory_requests,,Accumulator,100000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multicore_pe_0,avg_core_utilization,,Accumulator,100000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,2.682729,0.078052,0.000000,0.031667
multicore_pe_0,total_neurons_fired,,Accumulator,100000000,0,0,0,0,0,1187475104,19687960507993920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,24739064,0,0,0,0
multicore_pe_0,external_spikes_sent,,Accumulator,100000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multicore_pe_0,external_spikes_received,,Accumulator,100000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core13_l1,MSHR_occupancy,,Histogram,100000000,0,0,63,1,64,0,0,1,200000,2,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core0_l1,MSHR_occupancy,,Histogram,100000000,0,0,63,1,64,0,0,1,200000,2,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core8_l1,MSHR_occupancy,,Histogram,100000000,0,0,63,1,64,0,0,1,200000,2,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core16_l1,MSHR_occupancy,,Histogram,100000000,0,0,63,1,64,0,0,1,200000,2,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core1_l1,MSHR_occupancy,,Histogram,100000000,0,0,63,1,64,0,0,1,200000,2,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core5_l1,MSHR_occupancy,,Histogram,100000000,0,0,63,1,64,0,0,1,200000,2,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core9_l1,MSHR_occupancy,,Histogram,100000000,0,0,63,1,64,0,0,1,200000,2,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core4_l1,MSHR_occupancy,,Histogram,100000000,0,0,63,1,64,0,0,1,200000,2,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core12_l1,MSHR_occupancy,,Histogram,100000000,0,0,63,1,64,0,0,1,200000,2,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core18_l1,MSHR_occupancy,,Histogram,100000000,0,0,63,1,64,0,0,1,200000,2,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core7_l1,MSHR_occupancy,,Histogram,100000000,0,0,63,1,64,0,0,1,200000,2,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core15_l1,MSHR_occupancy,,Histogram,100000000,0,0,63,1,64,0,0,1,200000,2,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core17_l1,MSHR_occupancy,,Histogram,100000000,0,0,63,1,64,0,0,1,200000,2,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
