scene,L,gap,split_ns,merge_ns
row_hit,4096,0,68,47
row_switch,4096,0,63,47
row_hit,4096,512,52,47
row_switch,4096,512,52,47
row_hit,4096,1024,52,47
row_switch,4096,1024,52,47
row_hit,4096,1536,52,47
row_switch,4096,1536,52,47
row_hit,4096,2048,52,47
row_switch,4096,2048,52,47
row_hit,4096,2560,52,47
row_switch,4096,2560,52,47
row_hit,4096,3072,52,47
row_switch,4096,3072,52,47
row_hit,4096,3584,52,47
row_switch,4096,3584,52,47
row_hit,4096,4096,52,47
row_switch,4096,4096,52,47
row_hit,4096,4608,52,47
row_switch,4096,4608,52,47
row_hit,4096,5120,52,47
row_switch,4096,5120,52,47
row_hit,4096,5632,52,47
row_switch,4096,5632,52,47
row_hit,4096,6144,52,47
row_switch,4096,6144,52,47
row_hit,4096,6656,52,47
row_switch,4096,6656,52,47
row_hit,4096,7168,52,47
row_switch,4096,7168,52,47
row_hit,4096,7680,52,47
row_switch,4096,7680,52,47
row_hit,4096,8192,52,47
row_switch,4096,8192,52,47
row_hit,4096,8704,52,47
row_switch,4096,8704,52,47
row_hit,4096,9216,52,47
row_switch,4096,9216,52,47
row_hit,4096,9728,52,47
row_switch,4096,9728,52,47
row_hit,4096,10240,52,47
row_switch,4096,10240,52,47
row_hit,4096,10752,52,47
row_switch,4096,10752,52,47
row_hit,4096,11264,52,47
row_switch,4096,11264,52,47
row_hit,4096,11776,52,47
row_switch,4096,11776,52,47
row_hit,4096,12288,63,47
row_switch,4096,12288,52,47
row_hit,4096,12800,50,47
row_switch,4096,12800,52,47
row_hit,4096,13312,50,47
row_switch,4096,13312,52,47
row_hit,4096,13824,50,47
row_switch,4096,13824,52,47
row_hit,4096,14336,50,47
row_switch,4096,14336,52,47
row_hit,4096,14848,50,47
row_switch,4096,14848,52,47
row_hit,4096,15360,50,47
row_switch,4096,15360,52,47
row_hit,4096,15872,50,47
row_switch,4096,15872,52,47
row_hit,4096,16384,50,47
row_switch,4096,16384,52,47
row_hit,4096,16896,50,47
row_switch,4096,16896,52,47
