ComponentName,StatisticName,StatisticSubId,StatisticType,SimTime,Rank,BinsMinValue.u64,BinsMaxValue.u64,BinWidth.u32,TotalNumBins.u32,Sum.u64,SumSQ.u64,NumActiveBins.u32,NumItemsCollected.u64,NumItemsBinned.u64,NumOutOfBounds-MinValue.u64,NumOutOfBounds-MaxValue.u64,Bin0:0-0.u64,Bin1:1-1.u64,Bin2:2-2.u64,Bin3:3-3.u64,Bin4:4-4.u64,Bin5:5-5.u64,Bin6:6-6.u64,Bin7:7-7.u64,Bin8:8-8.u64,Bin9:9-9.u64,Bin10:10-10.u64,Bin11:11-11.u64,Bin12:12-12.u64,Bin13:13-13.u64,Bin14:14-14.u64,Bin15:15-15.u64,Bin16:16-16.u64,Bin17:17-17.u64,Bin18:18-18.u64,Bin19:19-19.u64,Bin20:20-20.u64,Bin21:21-21.u64,Bin22:22-22.u64,Bin23:23-23.u64,Bin24:24-24.u64,Bin25:25-25.u64,Bin26:26-26.u64,Bin27:27-27.u64,Bin28:28-28.u64,Bin29:29-29.u64,Bin30:30-30.u64,Bin31:31-31.u64,Bin32:32-32.u64,Bin33:33-33.u64,Bin34:34-34.u64,Bin35:35-35.u64,Bin36:36-36.u64,Bin37:37-37.u64,Bin38:38-38.u64,Bin39:39-39.u64,Bin40:40-40.u64,Bin41:41-41.u64,Bin42:42-42.u64,Bin43:43-43.u64,Bin44:44-44.u64,Bin45:45-45.u64,Bin46:46-46.u64,Bin47:47-47.u64,Bin48:48-48.u64,Bin49:49-49.u64,Bin50:50-50.u64,Bin51:51-51.u64,Bin52:52-52.u64,Bin53:53-53.u64,Bin54:54-54.u64,Bin55:55-55.u64,Bin56:56-56.u64,Bin57:57-57.u64,Bin58:58-58.u64,Bin59:59-59.u64,Bin60:60-60.u64,Bin61:61-61.u64,Bin62:62-62.u64,Bin63:63-63.u64,Count.u64,Min.u64,Max.u64,Bin0:0-63.u64,Bin1:64-127.u64,Bin2:128-191.u64,Bin3:192-255.u64,Bin4:256-319.u64,Bin5:320-383.u64,Bin6:384-447.u64,Bin7:448-511.u64,Bin8:512-575.u64,Bin9:576-639.u64,Bin10:640-703.u64,Bin11:704-767.u64,Bin12:768-831.u64,Bin13:832-895.u64,Bin14:896-959.u64,Bin15:960-1023.u64,Bin16:1024-1087.u64,Bin17:1088-1151.u64,Bin18:1152-1215.u64,Bin19:1216-1279.u64,Bin20:1280-1343.u64,Bin21:1344-1407.u64,Bin22:1408-1471.u64,Bin23:1472-1535.u64,Bin24:1536-1599.u64,Bin25:1600-1663.u64,Bin26:1664-1727.u64,Bin27:1728-1791.u64,Bin28:1792-1855.u64,Bin29:1856-1919.u64,Bin30:1920-1983.u64,Bin31:1984-2047.u64,Sum.f64,SumSQ.f64,Min.f64,Max.f64,Bin0:0-3.u64,Bin1:4-7.u64,Bin2:8-11.u64,Bin3:12-15.u64,Bin4:16-19.u64,Bin5:20-23.u64,Bin6:24-27.u64,Bin7:28-31.u64,Bin8:32-35.u64,Bin9:36-39.u64,Bin10:40-43.u64,Bin11:44-47.u64,Bin12:48-51.u64,Bin13:52-55.u64,Bin14:56-59.u64,Bin15:60-63.u64,Bin16:64-67.u64,Bin17:68-71.u64,Bin18:72-75.u64,Bin19:76-79.u64,Bin20:80-83.u64,Bin21:84-87.u64,Bin22:88-91.u64,Bin23:92-95.u64,Bin24:96-99.u64,Bin25:100-103.u64,Bin26:104-107.u64,Bin27:108-111.u64,Bin28:112-115.u64,Bin29:116-119.u64,Bin30:120-123.u64,Bin31:124-127.u64,Bin32:128-131.u64,Bin33:132-135.u64,Bin34:136-139.u64,Bin35:140-143.u64,Bin36:144-147.u64,Bin37:148-151.u64,Bin38:152-155.u64,Bin39:156-159.u64,Bin40:160-163.u64,Bin41:164-167.u64,Bin42:168-171.u64,Bin43:172-175.u64,Bin44:176-179.u64,Bin45:180-183.u64,Bin46:184-187.u64,Bin47:188-191.u64,Bin48:192-195.u64,Bin49:196-199.u64,Bin50:200-203.u64,Bin51:204-207.u64,Bin52:208-211.u64,Bin53:212-215.u64,Bin54:216-219.u64,Bin55:220-223.u64,Bin56:224-227.u64,Bin57:228-231.u64,Bin58:232-235.u64,Bin59:236-239.u64,Bin60:240-243.u64,Bin61:244-247.u64,Bin62:248-251.u64,Bin63:252-255.u64,Bin64:256-259.u64,Bin65:260-263.u64,Bin66:264-267.u64,Bin67:268-271.u64,Bin68:272-275.u64,Bin69:276-279.u64,Bin70:280-283.u64,Bin71:284-287.u64,Bin72:288-291.u64,Bin73:292-295.u64,Bin74:296-299.u64,Bin75:300-303.u64,Bin76:304-307.u64,Bin77:308-311.u64,Bin78:312-315.u64,Bin79:316-319.u64,Bin80:320-323.u64,Bin81:324-327.u64,Bin82:328-331.u64,Bin83:332-335.u64,Bin84:336-339.u64,Bin85:340-343.u64,Bin86:344-347.u64,Bin87:348-351.u64,Bin88:352-355.u64,Bin89:356-359.u64,Bin90:360-363.u64,Bin91:364-367.u64,Bin92:368-371.u64,Bin93:372-375.u64,Bin94:376-379.u64,Bin95:380-383.u64,Bin96:384-387.u64,Bin97:388-391.u64,Bin98:392-395.u64,Bin99:396-399.u64,Bin100:400-403.u64,Bin101:404-407.u64,Bin102:408-411.u64,Bin103:412-415.u64,Bin104:416-419.u64,Bin105:420-423.u64,Bin106:424-427.u64,Bin107:428-431.u64,Bin108:432-435.u64,Bin109:436-439.u64,Bin110:440-443.u64,Bin111:444-447.u64,Bin112:448-451.u64,Bin113:452-455.u64,Bin114:456-459.u64,Bin115:460-463.u64,Bin116:464-467.u64,Bin117:468-471.u64,Bin118:472-475.u64,Bin119:476-479.u64,Bin120:480-483.u64,Bin121:484-487.u64,Bin122:488-491.u64,Bin123:492-495.u64,Bin124:496-499.u64,Bin125:500-503.u64,Bin126:504-507.u64,Bin127:508-511.u64
pe0_core1_l1,MSHR_occupancy,,Histogram,2000000000,0,0,63,1,64,2488081,93492287,64,4000000,5343,0,3911735,6175,887,1274,1650,1888,387,333,1967,624,349,380,386,806,358,601,865,7845,336,1108,804,940,675,1204,242,330,381,274,287,328,557,651,597,25184,548,1386,1759,1798,370,313,1574,384,429,352,428,784,303,468,703,7067,952,1668,658,377,1475,815,333,233,204,271,254,326,478,411,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core9_l1,MSHR_occupancy,,Histogram,2000000000,0,0,63,1,64,2680929,102327059,64,4000000,5335,0,3909860,6176,757,1466,447,667,519,254,1064,526,224,472,185,268,954,379,228,6299,418,1850,297,700,1065,298,720,690,1220,1022,1536,675,725,592,2214,30159,599,1603,377,760,711,366,1004,271,476,265,299,455,984,546,479,6242,316,367,441,412,701,333,472,569,1576,387,824,820,503,760,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core15_l1,MSHR_occupancy,,Histogram,2000000000,0,0,63,1,64,2439945,91458459,64,3999999,5367,0,3915599,6174,640,377,417,1233,1706,372,291,712,300,249,417,413,423,601,632,9169,583,1204,999,447,348,585,410,508,258,241,438,362,354,295,531,28406,440,408,622,895,845,330,390,666,375,328,427,277,309,532,432,9574,987,1313,957,537,309,423,421,299,351,257,392,249,256,289,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core3_l1,MSHR_occupancy,,Histogram,2000000000,0,0,63,1,64,2494374,92689716,64,4000000,5337,0,3912060,6175,1950,536,721,567,488,1002,1098,1190,467,253,466,279,325,760,452,10745,536,479,238,232,575,496,290,219,387,432,666,700,221,332,558,28223,1223,794,471,845,565,1452,263,906,391,482,293,264,955,399,314,10648,885,391,247,342,251,218,250,609,274,679,408,237,223,238,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core7_l1,MSHR_occupancy,,Histogram,2000000000,0,0,63,1,64,2584360,97055170,64,4000000,5337,0,3911951,6173,933,252,558,233,1110,353,791,513,255,469,219,434,385,263,1010,10243,1566,549,395,228,332,678,218,360,2100,306,334,345,283,302,698,29637,731,303,589,323,783,710,475,296,1395,405,325,419,338,349,1176,9708,916,556,329,475,258,937,291,235,1229,219,265,314,290,248,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core2_l1,MSHR_occupancy,,Histogram,2000000000,0,0,63,1,64,2488501,93767553,64,4000000,5348,0,3914511,6174,859,477,991,713,646,313,1162,711,240,896,304,298,372,982,314,7214,242,1864,261,1594,545,792,311,689,284,509,627,274,431,320,545,28371,371,1037,417,1124,659,440,1263,268,428,689,369,274,243,663,486,7427,412,2562,281,1435,323,338,367,789,271,233,473,350,444,304,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core6_l1,MSHR_occupancy,,Histogram,2000000000,0,0,63,1,64,2562789,97399549,64,4000000,5319,0,3912704,6174,1091,911,893,235,428,286,2378,389,1092,268,562,462,441,1484,662,4543,848,434,641,340,243,584,979,473,624,703,955,374,535,469,603,30481,1025,1412,735,406,840,246,1381,349,561,350,319,218,318,1330,1956,5433,351,367,1047,307,578,718,1185,817,206,313,1438,282,342,453,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core10_l1,MSHR_occupancy,,Histogram,2000000000,0,0,63,1,64,3067000,119089168,64,4000000,5377,0,3897173,6174,2025,1881,575,424,1016,307,373,273,357,605,1204,273,227,367,993,12606,1313,791,842,367,352,425,672,272,273,320,360,344,1284,744,816,28656,2454,1930,488,448,968,344,320,1816,344,680,280,272,248,312,672,11468,2192,1716,1780,361,368,457,647,273,271,313,368,328,338,1008,1852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core5_l1,MSHR_occupancy,,Histogram,2000000000,0,0,63,1,64,2577749,97793543,64,4000000,5342,0,3913315,6175,328,508,982,337,1012,1098,462,494,216,473,277,295,350,687,587,5477,954,1315,868,507,955,2012,232,372,1577,320,570,357,637,439,564,30438,291,913,887,664,830,738,285,630,314,370,324,290,343,513,460,6701,561,1710,932,893,408,2058,279,364,221,291,709,309,446,318,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pe0_core11_l1,MSHR_occupancy,,Histogram,2000000000,0,0,63,1,64,2928507,111752219,64,4000000,5379,0,3901253,6178,871,956,247,527,1468,1318,661,262,266,284,920,286,567,293,1431,11022,1179,1084,785,421,1345,382,652,296,320,304,382,336,367,517,1149,29336,904,1114,1448,448,376,1570,672,288,2130,272,664,240,576,297,552,10999,1350,1050,856,416,1321,428,640,249,295,305,392,346,408,536,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
