label,stats_csv,unique_reads,unique_bytes,bursts,payload,avg_burst_bytes,req_bytes,total_mib,reqs_per_mib,rowwin_triggers,rowwin_bytes,rowwin_share,avg_read_latency_0
rowwin_b16384_t0_100us,sst_dram_si/stats/sweeps/rowwin_b16384_t0_100us.csv,144,86592,1228,2560000,2084.69,2783232,2.654297,54.25,1,8192,0.0946,38.41
rowwin_b16384_t300_100us,sst_dram_si/stats/sweeps/rowwin_b16384_t300_100us.csv,142,86464,1228,2562048,2086.36,2781184,2.652344,53.54,1,8192,0.0947,38.41
rowwin_b16384_t600_100us,sst_dram_si/stats/sweeps/rowwin_b16384_t600_100us.csv,142,86464,1230,2564096,2084.63,2783232,2.654297,53.50,1,8192,0.0947,38.41
rowwin_b32768_t0_100us,sst_dram_si/stats/sweeps/rowwin_b32768_t0_100us.csv,143,84544,1227,2557952,2084.72,2781184,2.652344,53.91,1,8192,0.0969,38.41
rowwin_b32768_t300_100us,sst_dram_si/stats/sweeps/rowwin_b32768_t300_100us.csv,141,84416,1228,2560000,2084.69,2779136,2.650391,53.20,1,8192,0.0970,38.41
rowwin_b32768_t600_100us,sst_dram_si/stats/sweeps/rowwin_b32768_t600_100us.csv,145,88640,1229,2564096,2086.33,2787328,2.658203,54.55,1,8192,0.0924,38.42
rowwin_b65536_t0_100us,sst_dram_si/stats/sweeps/rowwin_b65536_t0_100us.csv,147,90752,1231,2566144,2084.60,2791424,2.662109,55.22,1,8192,0.0903,38.41
rowwin_b65536_t300_100us,sst_dram_si/stats/sweeps/rowwin_b65536_t300_100us.csv,144,86592,1228,2560000,2084.69,2783232,2.654297,54.25,1,8192,0.0946,38.41
rowwin_b65536_t600_100us,sst_dram_si/stats/sweeps/rowwin_b65536_t600_100us.csv,145,92608,1235,2574336,2084.48,2793472,2.664062,54.43,1,8192,0.0885,38.41
rowwin_b16384_t0_100us,sst_dram_si/stats/sweeps/rowwin_b16384_t0_100us.csv,141,84416,1228,2560000,2084.69,2779136,2.650391,53.20,1,8192,0.0970,38.41
rowwin_b16384_t300_100us,sst_dram_si/stats/sweeps/rowwin_b16384_t300_100us.csv,146,88704,1228,2562048,2086.36,2787328,2.658203,54.92,1,8192,0.0924,38.42
rowwin_b16384_t600_100us,sst_dram_si/stats/sweeps/rowwin_b16384_t600_100us.csv,146,88704,1229,2562048,2084.66,2787328,2.658203,54.92,1,8192,0.0924,38.41
rowwin_b32768_t0_100us,sst_dram_si/stats/sweeps/rowwin_b32768_t0_100us.csv,142,86464,1228,2562048,2086.36,2781184,2.652344,53.54,1,8192,0.0947,38.41
rowwin_b32768_t300_100us,sst_dram_si/stats/sweeps/rowwin_b32768_t300_100us.csv,145,86656,1228,2560000,2084.69,2785280,2.656250,54.59,1,8192,0.0945,38.41
rowwin_b32768_t600_100us,sst_dram_si/stats/sweeps/rowwin_b32768_t600_100us.csv,142,86464,1228,2562048,2086.36,2781184,2.652344,53.54,1,8192,0.0947,38.41
rowwin_b65536_t0_100us,sst_dram_si/stats/sweeps/rowwin_b65536_t0_100us.csv,143,84544,1227,2557952,2084.72,2781184,2.652344,53.91,1,8192,0.0969,38.41
rowwin_b65536_t300_100us,sst_dram_si/stats/sweeps/rowwin_b65536_t300_100us.csv,143,84544,1227,2557952,2084.72,2781184,2.652344,53.91,1,8192,0.0969,38.41
rowwin_b65536_t600_100us,sst_dram_si/stats/sweeps/rowwin_b65536_t600_100us.csv,144,86592,1228,2560000,2084.69,2783232,2.654297,54.25,1,8192,0.0946,38.41
