window_start_us,window_end_us,read_count,avg_read_latency_cycles,issue_count,avg_req_size_bytes,avg_outstanding,avg_activity_f,sb_peak_bytes,inflight_peak
0,20,25,275.6,1109,2048,35.1659,3.20936e-05,75776,80
20,40,25,244,68,2048,69.7353,3.82183e-05,4096,87
40,60,32,233.062,73,2048,72.9315,4.20149e-05,6144,94
60,80,28,201.143,73,2048,74.7808,4.35556e-05,2048,96
80,100,25,256.4,44,2048,77.4773,2.76919e-05,2048,98
100,120,27,223.815,60,2048,79.7,3.78246e-05,2048,100
120,140,31,234.161,56,2048,80.6429,3.78644e-05,2048,101
140,160,26,240.346,59,2048,82.0508,4.92866e-05,2048,100
160,180,11,248.545,35,2048,84.7429,3.93591e-05,2048,101
180,200,28,234,48,2048,86.3958,4.14471e-05,2048,101
200,220,24,205.667,43,2048,88.6977,4.29825e-05,2048,102
220,240,24,224.208,38,2048,87.6579,4.18204e-05,2048,101
240,260,13,255.538,29,2048,87.8966,3.78246e-05,2048,101
260,280,18,245.111,36,2048,89.4167,3.33433e-05,0,101
280,300,18,196.222,31,2048,91.6129,3.55322e-05,64,101
300,320,14,165.786,27,2048,92.4444,4.50633e-05,0,101
320,340,13,187.846,22,2048,92.7727,3.6905e-05,0,101
340,360,8,214,18,2048,92.2778,4.18363e-05,0,101
360,380,11,212.182,16,2048,94.0625,4.35158e-05,0,101
380,400,11,234,16,2048,94.5625,3.89708e-05,0,101
400,420,15,236.667,22,2048,93.2273,3.84295e-05,0,101
420,440,5,178,10,2048,95.4,4.12632e-05,0,101
440,460,7,216.857,12,2048,95.4167,3.76479e-05,0,101
460,480,11,204.909,17,2048,95.2353,3.23628e-05,0,101
480,500,7,176.857,9,2048,96.3333,3.20936e-05,0,101
500,520,4,174,9,2048,92.5556,3.05176e-05,6144,101
520,540,6,187.333,12,2048,95.9167,4.18363e-05,4096,87
540,560,5,194,7,2048,97.8571,2.99524e-05,6144,94
560,580,4,214,5,2048,95.8,3.26667e-05,2048,97
580,600,1,314,1,2048,94,3.6507e-05,2048,98
600,620,3,234,5,2048,97.2,4.25827e-05,2048,99
620,640,2,94,2,2048,92,3.61053e-05,2048,99
640,660,3,100.667,3,2048,93,3.67341e-05,2048,100
660,680,1,154,2,2048,102.5,3.49591e-05,2048,100
680,700,3,207.333,3,2048,100.667,2.88222e-05,2048,100
700,720,2,294,3,2048,98,3.83977e-05,2048,101
720,740,5,170,5,2048,99.2,3.87887e-05,2048,101
740,760,2,194,4,2048,95.75,3.57694e-05,0,100
760,780,2,234,4,2048,99.25,4.29825e-05,0,100
780,800,1,74,1,2048,101,4.57764e-05,64,100
800,820,4,204,5,2048,100.6,4.0117e-05,0,100
820,840,2,194,3,2048,99.3333,3.39084e-05,0,100
840,860,2,274,2,2048,94.5,3.20936e-05,0,100
860,880,1,274,1,2048,95,4.27817e-05,0,100
880,900,3,287.333,4,2048,97.25,3.63372e-05,0,100
900,920,0,0,0,0,0,4.29825e-05,0,100
920,940,0,0,0,0,0,3.95598e-05,0,100
940,960,1,234,1,2048,101,4.52749e-05,0,100
960,980,0,0,0,0,0,3.84295e-05,0,100
980,1000,0,0,0,0,0,3.15205e-05,0,100
1000,1020,1,234,1,2048,101,4.16408e-05,6144,100
1020,1040,0,0,0,0,0,4.03116e-05,4096,86
1040,1060,0,0,0,0,0,4.52749e-05,6144,93
1060,1080,0,0,0,0,0,3.2213e-05,2048,95
1080,1100,0,0,0,0,0,4.29825e-05,2048,96
1100,1120,1,274,1,2048,85,4.06901e-05,2048,98
1120,1140,0,0,0,0,0,3.95439e-05,2048,98
1140,1160,0,0,0,0,0,3.93591e-05,2048,99
1160,1180,0,0,0,0,0,4.31504e-05,2048,99
1180,1200,1,274,1,2048,102,4.24094e-05,2048,99
1200,1220,0,0,0,0,0,3.33433e-05,2048,100
1220,1240,0,0,0,0,0,4.5848e-05,2048,99
1240,1260,0,0,0,0,0,4.29507e-05,2048,99
1260,1280,0,0,0,0,0,4.12632e-05,0,99
1280,1300,0,0,0,0,0,5.01971e-05,64,99
1300,1320,0,0,0,0,0,3.17951e-05,0,99
1320,1340,0,0,0,0,0,3.55322e-05,0,99
1340,1360,0,0,0,0,0,4.06901e-05,0,99
1360,1380,0,0,0,0,0,4.29825e-05,0,99
1380,1400,0,0,0,0,0,4.23855e-05,0,99
1400,1420,0,0,0,0,0,3.49591e-05,0,99
1420,1440,0,0,0,0,0,4.22112e-05,0,99
1440,1460,0,0,0,0,0,4.25827e-05,0,99
1460,1480,0,0,0,0,0,4.0117e-05,0,99
1480,1500,0,0,0,0,0,3.78644e-05,0,99
1500,1520,0,0,0,0,0,3.89708e-05,6144,99
1520,1540,0,0,0,0,0,3.2213e-05,4096,86
1540,1560,0,0,0,0,0,3.66784e-05,6144,94
1560,1580,0,0,0,0,0,4.27817e-05,2048,97
1580,1600,0,0,0,0,0,3.57694e-05,2048,98
1600,1620,0,0,0,0,0,3.26667e-05,2048,98
1620,1640,0,0,0,0,0,3.6169e-05,2048,100
1640,1660,0,0,0,0,0,4.47018e-05,2048,99
1660,1680,0,0,0,0,0,3.72993e-05,2048,100
1680,1700,0,0,0,0,0,3.78246e-05,2048,100
1700,1720,0,0,0,0,0,3.42253e-05,2048,100
1720,1740,0,0,0,0,0,4.48537e-05,2048,101
1740,1760,0,0,0,0,0,3.95439e-05,2048,100
1760,1780,0,0,0,0,0,3.67341e-05,0,100
1780,1800,0,0,0,0,0,4.29825e-05,64,100
1800,1820,0,0,0,0,0,4.18204e-05,0,100
1820,1840,0,0,0,0,0,4.29825e-05,0,100
1840,1860,0,0,0,0,0,4.22112e-05,0,100
1860,1880,0,0,0,0,0,3.74727e-05,0,100
1880,1900,0,0,0,0,0,4.18363e-05,0,100
1900,1920,0,0,0,0,0,3.95598e-05,0,100
1920,1940,0,0,0,0,0,4.12632e-05,0,100
1940,1960,0,0,0,0,0,3.44736e-05,0,100
1960,1980,0,0,0,0,0,3.89708e-05,0,100
1980,2000,0,0,0,0,0,4.10704e-05,0,100
