tile_id,comp_power_w,sram_power_w,noc_power_w
0,0.010000,0.002000,0.001000
1,0.011000,0.002200,0.001100
2,0.012000,0.002400,0.001200
3,0.013000,0.002600,0.001300
4,0.014000,0.002800,0.001400
5,0.015000,0.003000,0.001500
6,0.016000,0.003200,0.001600
7,0.017000,0.003400,0.001700
8,0.018000,0.003600,0.001800
9,0.019000,0.003800,0.001900
10,0.020000,0.004000,0.002000
11,0.021000,0.004200,0.002100
12,0.022000,0.004400,0.002200
13,0.023000,0.004600,0.002300
14,0.024000,0.004800,0.002400
15,0.025000,0.005000,0.002500
